source_path,sheet_name,header_row,row_count,column_count,columns
E:\code\karpathyjobs\data\source\comparison\AIOE_DataAppendix.xlsx,Index,0,4,1,data_appendix_a_aioe_scores_by_occupation
E:\code\karpathyjobs\data\source\comparison\AIOE_DataAppendix.xlsx,Appendix A,0,774,3,"soc_code, occupation_title, aioe"
E:\code\karpathyjobs\data\source\comparison\AIOE_DataAppendix.xlsx,Appendix B,0,250,3,"naics, industry_title, aiie"
E:\code\karpathyjobs\data\source\comparison\AIOE_DataAppendix.xlsx,Appendix C,0,3271,3,"fips_code, geographic_area, aige"
E:\code\karpathyjobs\data\source\comparison\AIOE_DataAppendix.xlsx,Appendix D,0,52,11,"unnamed_0, abstract_strategy_games, real_time_video_games, image_recognition, visual_question_answering, generating_images, reading_comprehension, language_modeling, translation, speech_recognition, instrumental_track_recognition"
E:\code\karpathyjobs\data\source\comparison\AIOE_DataAppendix.xlsx,Appendix E,0,52,2,"o_net_abilities, ability_level_ai_exposure"
E:\code\karpathyjobs\data\source\comparison\Language_Modeling_AIOE_and_AIIE.xlsx,LM AIOE,0,774,3,"soc_code, occupation_title, language_modeling_aioe"
E:\code\karpathyjobs\data\source\comparison\Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0,250,3,"naics, naics_description, language_modeling_aiie"
E:\code\karpathyjobs\data\source\comparison\Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0,774,3,"soc_code, occupation_title, image_generation_aioe"
E:\code\karpathyjobs\data\source\comparison\Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0,250,3,"naics, naics_description, image_generation_aiie"
E:\code\karpathyjobs\data\source\comparison\webb_exposure_by_soc4.xlsx,exposure_by_soc4,0,964,3,"index, occ_code, ai_score"
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,Data TOC,0,17,1,ai_exposure_what_do_we_know
E:\code\karpathyjobs\data\source\comparison\TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,T1,0,11,4,"table_1_ai_measures, unnamed_1, unnamed_2, unnamed_3"
