onet_soc_code,onet_soc_title,nem_code,nem_title,ooh_profile_code,ooh_profile_title,ooh_profile_website,onet_soc_norm
11-1011.00,Chief Executives,11-1011,Chief executives,B039,Top executives,https://www.bls.gov/ooh/management/top-executives.htm,11-1011
11-1011.03,Chief Sustainability Officers,11-1011,Chief executives,B039,Top executives,https://www.bls.gov/ooh/management/top-executives.htm,11-1011
11-1021.00,General and Operations Managers,11-1021,General and operations managers,B039,Top executives,https://www.bls.gov/ooh/management/top-executives.htm,11-1021
11-1031.00,Legislators,11-1031,Legislators,—,,,11-1031
11-2011.00,Advertising and Promotions Managers,11-2011,Advertising and promotions managers,B016,"Advertising, promotions, and marketing managers",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,11-2011
11-2021.00,Marketing Managers,11-2021,Marketing managers,B016,"Advertising, promotions, and marketing managers",https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,11-2021
11-2022.00,Sales Managers,11-2022,Sales managers,B018,Sales managers,https://www.bls.gov/ooh/management/sales-managers.htm,11-2022
11-2032.00,Public Relations Managers,11-2032,Public relations managers,B019,Public relations and fundraising managers,https://www.bls.gov/ooh/management/public-relations-managers.htm,11-2032
11-2033.00,Fundraising Managers,11-2033,Fundraising managers,B019,Public relations and fundraising managers,https://www.bls.gov/ooh/management/public-relations-managers.htm,11-2033
11-3012.00,Administrative Services Managers,11-3012,Administrative services managers,B020,Administrative services and facilities managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,11-3012
11-3013.00,Facilities Managers,11-3013,Facilities managers,B020,Administrative services and facilities managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,11-3013
11-3013.01,Security Managers,11-3013,Facilities managers,B020,Administrative services and facilities managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,11-3013
11-3021.00,Computer and Information Systems Managers,11-3021,Computer and information systems managers,B021,Computer and information systems managers,https://www.bls.gov/ooh/management/computer-and-information-systems-managers.htm,11-3021
11-3031.00,Financial Managers,11-3031,Financial managers,B022,Financial managers,https://www.bls.gov/ooh/management/financial-managers.htm,11-3031
11-3031.01,Treasurers and Controllers,11-3031,Financial managers,B022,Financial managers,https://www.bls.gov/ooh/management/financial-managers.htm,11-3031
11-3031.03,Investment Fund Managers,11-3031,Financial managers,B022,Financial managers,https://www.bls.gov/ooh/management/financial-managers.htm,11-3031
11-3051.00,Industrial Production Managers,11-3051,Industrial production managers,B026,Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,11-3051
11-3051.01,Quality Control Systems Managers,11-3051,Industrial production managers,B026,Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,11-3051
11-3051.02,Geothermal Production Managers,11-3051,Industrial production managers,B026,Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,11-3051
11-3051.03,Biofuels Production Managers,11-3051,Industrial production managers,B026,Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,11-3051
11-3051.04,Biomass Power Plant Managers,11-3051,Industrial production managers,B026,Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,11-3051
11-3051.06,Hydroelectric Production Managers,11-3051,Industrial production managers,B026,Industrial production managers,https://www.bls.gov/ooh/management/industrial-production-managers.htm,11-3051
11-3061.00,Purchasing Managers,11-3061,Purchasing managers,B324,"Purchasing managers, buyers, and purchasing agents",https://www.bls.gov/ooh/business-and-financial/purchasing-managers-buyers-and-purchasing-agents.htm,11-3061
