comparison_key,raw_naics_examples,source_row_count,comparison_title,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level,source_file,karpathy_zscore,karpathy_percentile
1133,113300,1,Logging,33400,11,3.332,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.214346031579889,0.11290322580645161
2121,212100,1,Coal mining,18400,32,3.3033,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.233968470978225,0.10215053763440861
2122,212200,1,Metal ore mining,24100,58,3.873,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.8444596303778038,0.21505376344086022
2123,212300,1,Nonmetallic mineral mining and quarrying,47700,45,3.9763,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7738325227175906,0.24193548387096775
2211,221100,1,"Electric power generation, transmission and distribution",295300,120,5.3127,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.13987577038123866,0.5967741935483871
2212,221200,1,Natural gas distribution,61300,83,5.9641,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.5852436109413831,0.7311827956989247
2213,221300,1,"Water, sewage and other systems",42700,48,4.5133,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4066809562748555,0.3548387096774194
2361,236100,1,Residential building construction,712900,86,4.1478,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6565764824104601,0.27419354838709675
2362,236200,1,Nonresidential building construction,668800,97,4.5234,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3997754985074971,0.3709677419354839
2371,237100,1,Utility system construction,419800,89,3.3109,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.22877228493546,0.10752688172043011
2372,237200,1,Land subdivision,27800,47,5.7302,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.4253241483883927,0.6989247311827957
2373,237300,1,"Highway, street, and bridge construction",280500,65,3.2766,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.2522234929968863,0.0967741935483871
2379,237900,1,Other heavy and civil engineering construction,101500,64,3.4477,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.1352409361656908,0.15591397849462366
2381,238100,1,"Foundation, structure, and building exterior contractors",642800,78,3.1785,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.3192953154699445,0.0913978494623656
2382,238200,1,Building equipment contractors,1885000,105,3.543,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.0700834980241773,0.17204301075268819
2383,238300,1,Building finishing contractors,640700,69,3.0377,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.415561498999064,0.06989247311827956
2389,238900,1,Other specialty trade contractors,566700,80,3.3381,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.2101754085718806,0.11827956989247312
3111,311100,1,Animal food manufacturing,28500,50,5.3232,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.14705471162453201,0.6075268817204301
3112,311200,1,Grain and oilseed milling,25000,58,5.0488,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.04055495286687674,0.5268817204301075
3113,311300,1,Sugar and confectionery product manufacturing,22100,54,5.1986,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.06186460887078005,0.5752688172043011
3114,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.5525,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3798795756332256,0.3870967741935484
3115,311500,1,Dairy product manufacturing,52600,60,4.6551,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3097310640558987,0.41935483870967744
3116,311600,1,Animal slaughtering and processing,136100,72,3.9528,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7898996769287719,0.23118279569892472
3117,311700,1,Seafood product preparation and packaging,7800,35,4.8154,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.20013256107494792,0.46236559139784944
3118,311800,1,Bakeries and tortilla manufacturing,186800,61,3.4063,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.1635464759249632,0.13978494623655913
3119,311900,1,Other food manufacturing,92500,72,4.7147,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.2689820261415842,0.45161290322580644
3121,312100,1,Beverage manufacturing,157000,76,3.8228,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.8787818066076463,0.1989247311827957
3122,312200,1,Tobacco manufacturing,4500,24,5.1467,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.026380127868214143,0.553763440860215
3211,321100,1,Sawmills and wood preservation,26200,40,4.2702,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5728905387743507,0.3064516129032258
3212,321200,1,"Veneer, plywood, and engineered wood product manufacturing",22400,44,4.9161,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.13128309600831228,0.4946236559139785
3219,321900,1,Other wood product manufacturing,75500,66,4.5136,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4064758436679041,0.3602150537634409
3221,322100,1,"Pulp, paper, and paperboard mills",28800,55,4.8861,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.1517943567034373,0.4838709677419355
3222,322200,1,Converted paper product manufacturing,75100,61,5.5726,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.31757165887000377,0.6612903225806451
3254,325400,1,Pharmaceutical and medicine manufacturing,183600,100,6.2659,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.7915868935343393,0.7741935483870968
3261,326100,1,Plastics product manufacturing,208300,82,5.3622,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.17371935052819415,0.6236559139784946
3262,326200,1,Rubber product manufacturing,40000,59,5.3803,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.18609447781425312,0.6344086021505376
3311,331100,1,Iron and steel mills and ferroalloy manufacturing,30500,53,4.5213,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4012112867561555,0.3655913978494624
3312,331200,1,Steel product manufacturing from purchased steel,23400,47,4.859,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.17032286219803336,0.478494623655914
3313,331300,1,Alumina and aluminum production and processing,22300,51,4.7691,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.2317882734144243,0.45698924731182794
3314,331400,1,Nonferrous metal (except aluminum) production and processing,28200,53,5.1745,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.04538722944569655,0.5645161290322581
3315,331500,1,Foundries,33500,55,4.9564,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.10372963580786106,0.5053763440860215
3327,332700,1,"Machine shops; turned product; and screw, nut, and bolt manufacturing",172800,61,4.3084,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5467728668225585,0.3172043010752688
3328,332800,1,"Coating, engraving, heat treating, and allied activities",50100,54,4.4435,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4544038228255126,0.34946236559139787
3333,333300,1,Commercial and service industry machinery manufacturing,45900,69,6.3139,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.8244049106465391,0.7903225806451613
3335,333500,1,Metalworking machinery manufacturing,74900,55,5.063,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.030846289471184462,0.532258064516129
3336,333600,1,"Engine, turbine, and power transmission equipment manufacturing",48300,60,5.5996,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.3360317934956156,0.6774193548387096
3341,334100,1,Computer and peripheral equipment manufacturing,74400,68,7.4505,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.6015082075158362,0.9193548387096774
3342,334200,1,Communications equipment manufacturing,50000,67,7.1904,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.423675577289104,0.8817204301075269
3343,334300,1,Audio and video equipment manufacturing,8800,33,7.1955,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.427162491607275,0.8870967741935484
3344,334400,1,Semiconductor and other electronic component manufacturing,242700,84,6.3092,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.8211914798043025,0.7849462365591398
3345,334500,1,"Navigational, measuring, electromedical, and control instruments manufacturing",250900,98,6.862,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.1991456435464702,0.8387096774193549
3346,334600,1,Manufacturing and reproducing magnetic and optical media,4900,27,7.6469,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,1.7357885941999203,0.946236559139785
3351,335100,1,Electric lighting equipment manufacturing,15000,45,6.4293,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.9033048934537856,0.7956989247311828
3352,335200,1,Household appliance manufacturing,17100,43,5.6696,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.3838914017842405,0.6881720430107527
3353,335300,1,Electrical equipment manufacturing,64800,62,5.9648,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.5857222070242695,0.7365591397849462
3359,335900,1,Other electrical equipment and component manufacturing,67000,65,5.7742,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.45540733074124284,0.7043010752688172
3361,336100,1,Motor vehicle manufacturing,89500,80,5.3764,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.18342801392388702,0.6290322580645161
3362,336200,1,Motor vehicle body and trailer manufacturing,70400,64,3.9707,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7776612913806807,0.23655913978494625
