comparison_key,raw_naics_examples,source_row_count,comparison_title,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level,source_file,karpathy_zscore,karpathy_percentile
1133,113300,1,Logging,33400,11,3.4162,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.3644037057552352,0.10215053763440861
2121,212100,1,Coal mining,18400,32,3.6685,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1875460572782817,0.13978494623655913
2122,212200,1,Metal ore mining,24100,58,4.1701,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8359337050149451,0.22043010752688172
2123,212300,1,Nonmetallic mineral mining and quarrying,47700,45,4.4885,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6127411751890947,0.27419354838709675
2211,221100,1,"Electric power generation, transmission and distribution",295300,120,5.4067,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.03090009643808971,0.5483870967741935
2212,221200,1,Natural gas distribution,61300,83,5.9788,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.43193164892982594,0.7043010752688172
2213,221300,1,"Water, sewage and other systems",42700,48,5.2131,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10480993426004025,0.45698924731182794
2361,236100,1,Residential building construction,712900,86,3.8531,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.0581448606518622,0.16129032258064516
2362,236200,1,Nonresidential building construction,668800,97,4.1882,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8232459387151713,0.22580645161290322
2371,237100,1,Utility system construction,419800,89,3.1963,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.5185495515740304,0.053763440860215055
2372,237200,1,Land subdivision,27800,47,5.6079,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.17193758701899753,0.6236559139784946
2373,237300,1,"Highway, street, and bridge construction",280500,65,3.313,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.4367450031108497,0.07526881720430108
2379,237900,1,Other heavy and civil engineering construction,101500,64,3.3596,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.4040792622506595,0.08064516129032258
2381,238100,1,"Foundation, structure, and building exterior contractors",642800,78,3.0316,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6340012150863341,0.03763440860215054
2382,238200,1,Building equipment contractors,1885000,105,3.41,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.36874979144908,0.0967741935483871
2383,238300,1,Building finishing contractors,640700,69,2.6757,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.8834805535443118,0.016129032258064516
2389,238900,1,Other specialty trade contractors,566700,80,3.3815,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.388727766009497,0.08602150537634409
3111,311100,1,Animal food manufacturing,28500,50,5.614,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.17621357455649025,0.6290322580645161
3112,311200,1,Grain and oilseed milling,25000,58,5.136,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.15885561280769409,0.44623655913978494
3113,311300,1,Sugar and confectionery product manufacturing,22100,54,5.2986,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.04487601057878927,0.5161290322580645
3114,311400,1,Fruit and vegetable preserving and specialty food manufacturing,54300,60,4.5985,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.5356332032015212,0.3010752688172043
3115,311500,1,Dairy product manufacturing,52600,60,4.8099,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3874457006726746,0.3602150537634409
3116,311600,1,Animal slaughtering and processing,136100,72,3.964,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.9804060052571173,0.1774193548387097
3117,311700,1,Seafood product preparation and packaging,7800,35,4.8974,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.32610981386437693,0.3924731182795699
3118,311800,1,Bakeries and tortilla manufacturing,186800,61,3.5123,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.2970393775006364,0.11827956989247312
3119,311900,1,Other food manufacturing,92500,72,4.8011,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3936143384316804,0.34946236559139787
3121,312100,1,Beverage manufacturing,157000,76,4.1573,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8449062690280442,0.21505376344086022
3122,312200,1,Tobacco manufacturing,4500,24,5.2667,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.06723732245518586,0.489247311827957
3211,321100,1,Sawmills and wood preservation,26200,40,4.4733,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6233960949546504,0.26344086021505375
3212,321200,1,"Veneer, plywood, and engineered wood product manufacturing",22400,44,5.2143,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10396875638381227,0.46236559139784944
3219,321900,1,Other wood product manufacturing,75500,66,4.7073,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.4593664090901751,0.3172043010752688
3221,322100,1,"Pulp, paper, and paperboard mills",28800,55,4.9444,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.29316368037877744,0.41935483870967744
3222,322200,1,Converted paper product manufacturing,75100,61,5.7976,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.30491378961938637,0.6612903225806451
3254,325400,1,Pharmaceutical and medicine manufacturing,183600,100,6.3426,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.6869487417396386,0.7473118279569892
