comparison_key,raw_naics_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
1133,1133,Logging,1,-1.360161,Logging,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.357346318672197,0.044715447154471545
1151,1151,Support Activities for Crop Production,1,-2.165304,Support Activities for Crop Production,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-2.1593383609752266,0.0040650406504065045
1152,1152,Support Activities for Animal Production,1,-1.149307,Support Activities for Animal Production,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1473175038060641,0.09349593495934959
2111,2111,Oil and Gas Extraction,1,0.6686154,Oil and Gas Extraction,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.663490387865881,0.7479674796747967
2121,2121,Coal Mining,1,-1.146242,Coal mining,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1442644987999238,0.1016260162601626
2122,2122,Metal Ore Mining,1,-0.8924032,Metal ore mining,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8914191065804669,0.21138211382113822
2123,2123,Nonmetallic Mineral Mining and Quarrying,1,-1.037903,Nonmetallic mineral mining and quarrying,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0363494875894086,0.15853658536585366
2131,2131,Support Activities for Mining,1,-0.9810408,Support Activities for Mining,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9797098199678267,0.18292682926829268
2211,2211,"Electric Power Generation, Transmission and Distribution",1,0.2096187,"Electric power generation, transmission and distribution",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.20628998887669406,0.6219512195121951
2212,2212,Natural Gas Distribution,1,0.3453538,Natural gas distribution,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.34149388440979306,0.6707317073170732
2213,2213,"Water, Sewage and Other Systems",1,-0.1564226,"Water, sewage and other systems",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.1583187945993542,0.4878048780487805
2361,2361,Residential Building Construction,1,-0.7602519,Residential building construction,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7597849857100124,0.2845528455284553
2362,2362,Nonresidential Building Construction,1,-0.6632232,Nonresidential building construction,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6631360112110626,0.32926829268292684
2371,2371,Utility System Construction,1,-1.176381,Utility system construction,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1742855486792259,0.08130081300813008
2372,2372,Land Subdivision,1,0.5814018,Land subdivision,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.5766181016004605,0.7235772357723578
2373,2373,"Highway, Street, and Bridge Construction",1,-1.296256,"Highway, street, and bridge construction",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.2936914133157884,0.06097560975609756
2379,2379,Other Heavy and Civil Engineering Construction,1,-1.104619,Other heavy and civil engineering construction,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1028043919906005,0.12195121951219512
2381,2381,"Foundation, Structure, and Building Exterior Contractors",1,-1.757023,"Foundation, structure, and building exterior contractors",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.7526551841687175,0.012195121951219513
2382,2382,Building Equipment Contractors,1,-0.8320791,Building equipment contractors,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8313310872359626,0.23577235772357724
2383,2383,Building Finishing Contractors,1,-1.602616,Building finishing contractors,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.598852461825129,0.02032520325203252
2389,2389,Other Specialty Trade Contractors,1,-1.358564,Other specialty trade contractors,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.3557555685923257,0.04878048780487805
3111,3111,Animal Food Manufacturing,1,-0.78914,Animal food manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7885600310339538,0.2601626016260163
3112,3112,Grain and Oilseed Milling,1,-0.7206286,Grain and oilseed milling,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7203167529988224,0.3008130081300813
3113,3113,Sugar and Confectionery Product Manufacturing,1,-0.7729946,Sugar and confectionery product manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7724778166697982,0.2764227642276423
3114,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,1,-0.980808,Fruit and vegetable preserving and specialty food manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9794779310394647,0.18699186991869918
3115,3115,Dairy Product Manufacturing,1,-0.8435335,Dairy product manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8427406600067076,0.23170731707317074
3116,3116,Animal Slaughtering and Processing,1,-1.662866,Animal slaughtering and processing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.6588666711627964,0.016260162601626018
3117,3117,Seafood Product Preparation and Packaging,1,-1.258223,Seafood product preparation and packaging,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.2558072569051741,0.07317073170731707
3118,3118,Bakeries and Tortilla Manufacturing,1,-0.8015609,Bakeries and tortilla manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8009323213702565,0.24796747967479674
3119,3119,Other Food Manufacturing,1,-0.8538909,Other food manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.853057525928599,0.22764227642276422
3121,3121,Beverage Manufacturing,1,-0.6586424,Beverage manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6585731383457681,0.33739837398373984
3122,3122,Tobacco Manufacturing,1,-0.8843057,Tobacco manufacturing,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8833532964541306,0.21544715447154472
3131,3131,"Fiber, Yarn, and Thread Mills",1,-1.587852,"Fiber, Yarn, and Thread Mills",felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.5841462412996299,0.028455284552845527
3132,3132,Fabric Mills,1,-1.114104,Fabric Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1122522720830117,0.11382113821138211
3133,3133,Textile and Fabric Finishing and Fabric Coating Mills,1,-0.4358472,Textile and Fabric Finishing and Fabric Coating Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.43664985581917115,0.3983739837398374
3141,3141,Textile Furnishings Mills,1,-1.067818,Textile Furnishings Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0661474141012146,0.14634146341463414
3149,3149,Other Textile Product Mills,1,-0.561571,Other Textile Product Mills,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.5618816309548895,0.36585365853658536
