comparison_key,raw_naics_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
1133,113300,Logging,1,-0.0750081,Logging,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.07433712736944467,0.524390243902439
1151,115100,Support Activities for Crop Production,1,-2.262607,Support Activities for Crop Production,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-2.2514299733256036,0.008130081300813009
1152,115200,Support Activities for Animal Production,1,-1.162119,Support Activities for Animal Production,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-1.1562271224462208,0.0975609756097561
2111,211100,Oil and Gas Extraction,1,1.114644,Oil and Gas Extraction,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,1.1096016084228986,0.8455284552845529
2121,212100,Coal Mining,1,-0.257535,Coal mining,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.2559874327268643,0.45121951219512196
2122,212200,Metal Ore Mining,1,-0.0988843,Metal ore mining,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.09809866071480267,0.5121951219512195
2123,212300,Nonmetallic Mineral Mining and Quarrying,1,-0.385228,Nonmetallic mineral mining and quarrying,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.38306718065445733,0.3983739837398374
2131,213100,Support Activities for Mining,1,-0.5005459,Support Activities for Mining,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.49783126062391037,0.35772357723577236
2211,221100,"Electric Power Generation, Transmission and Distribution",1,0.704051,"Electric power generation, transmission and distribution",felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.7009805020127258,0.7520325203252033
2212,221200,Natural Gas Distribution,1,0.7333205,Natural gas distribution,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.730109433762835,0.7642276422764228
2213,221300,"Water, Sewage and Other Systems",1,0.1092118,"Water, sewage and other systems",felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.10899804727009228,0.5813008130081301
