variant,soc4,title,karpathy_score,num_jobs_2024,occupation_count,karpathy_zscore,karpathy_percentile,comparison_key,comparison_title,comparison_level
repo_current,11-10,Top executives,7.0,4022200.0,1,1.008129364841107,0.8125,11-10,Top executives,soc4
repo_current,11-20,Sales managers,7.367050067658998,1182400.0,3,1.1813034291708373,0.875,11-20,Sales managers,soc4
repo_current,11-30,Financial managers,6.995831265508685,3022500.0,6,1.0061625576979376,0.7840909090909091,11-30,Financial managers,soc4
repo_current,11-31,Human resources managers,7.0,289200.0,3,1.008129364841107,0.8125,11-31,Human resources managers,soc4
repo_current,11-90,"Farmers, ranchers, and other agricultural managers",5.0225804185981175,2847600.0,10,0.07518365533453858,0.5795454545454546,11-90,"Farmers, ranchers, and other agricultural managers",soc4
repo_current,11-91,Medical and health services managers,6.091400757166036,1479200.0,6,0.5794526321762523,0.7045454545454546,11-91,Medical and health services managers,soc4
repo_current,13-10,Project management specialists,7.193657812641972,3301700.0,7,1.0994970376992204,0.8522727272727273,13-10,Project management specialists,soc4
repo_current,13-11,Management analysts,7.632243659072672,2866300.0,6,1.3064216517397793,0.8863636363636364,13-11,Management analysts,soc4
repo_current,13-20,Accountants and auditors,7.255729953372299,3045400.0,10,1.1287826470453113,0.8636363636363636,13-20,Accountants and auditors,soc4
repo_current,15-12,"Software developers, quality assurance analysts, and testers",8.503334293373507,4513700.0,10,1.7174018390029062,0.9431818181818182,15-12,"Software developers, quality assurance analysts, and testers",soc4
repo_current,15-20,Data scientists,8.921163772876584,426200.0,4,1.9145336080386928,0.9659090909090909,15-20,Data scientists,soc4
repo_current,17-10,Architects,6.54025127966496,214900.0,4,0.7912201159786934,0.7727272727272727,17-10,Architects,soc4
repo_current,17-20,Civil engineers,6.515110661723402,890100.0,8,0.7793587832279111,0.7613636363636364,17-20,Civil engineers,soc4
repo_current,17-21,Industrial engineers,6.418071476736345,741500.0,8,0.7335757374144845,0.7386363636363636,17-21,Industrial engineers,soc4
repo_current,17-30,Drafters,6.098784722222222,576000.0,10,0.5829363837194789,0.7159090909090909,17-30,Drafters,soc4
repo_current,19-10,Medical scientists,5.792917166866746,333200.0,7,0.43862820242603245,0.6477272727272727,19-10,Medical scientists,soc4
repo_current,19-20,Chemists and materials scientists,6.079446640316205,253000.0,6,0.5738126849789645,0.6818181818181818,19-20,Chemists and materials scientists,soc4
repo_current,19-30,Psychologists,5.712374581939799,299000.0,9,0.40062824543820275,0.625,19-30,Psychologists,soc4
repo_current,19-40,Biological technicians,4.820572312451663,258600.0,7,-0.02012368241381752,0.5,19-40,Biological technicians,soc4
repo_current,19-50,Occupational health and safety specialists and technicians,5.0,163700.0,1,0.064530223534778,0.5625,19-50,Occupational health and safety specialists and technicians,soc4
repo_current,21-10,Social workers,4.974158463004128,2519200.0,9,0.05233819747510751,0.5454545454545454,21-10,Social workers,soc4
repo_current,23-10,Lawyers,7.88266028083161,918700.0,3,1.4245681063700621,0.9090909090909091,23-10,Lawyers,soc4
repo_current,23-20,Paralegals and legal assistants,9.0,376200.0,1,1.9517285061474359,0.9886363636363636,23-20,Paralegals and legal assistants,soc4
repo_current,25-10,Postsecondary teachers,7.0,1415600.0,1,1.008129364841107,0.8125,25-10,Postsecondary teachers,soc4
repo_current,25-11,Career and technical education teachers,6.0,239600.0,1,0.5363297941879425,0.6647727272727273,25-11,Career and technical education teachers,soc4
repo_current,25-20,Kindergarten and elementary school teachers,5.746680052936613,4382600.0,5,0.4168135519255541,0.6363636363636364,25-20,Kindergarten and elementary school teachers,soc4
repo_current,25-30,Tutors,6.159516380655226,256400.0,2,0.611589554093225,0.7272727272727273,25-30,Tutors,soc4
repo_current,25-40,Library technicians and assistants,5.527793862188767,345400.0,3,0.31354314110881354,0.6136363636363636,25-40,Library technicians and assistants,soc4
repo_current,25-90,Teacher assistants,4.421529539688293,1655400.0,2,-0.2083918912758239,0.45454545454545453,25-90,Teacher assistants,soc4
repo_current,27-10,Graphic designers,7.724090597117365,728500.0,9,1.3497549976750731,0.8977272727272727,27-10,Graphic designers,soc4
