comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,genaiexp_estz_total,genaiexp_estz_core,genaiexp_estz_supplemental,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
accountants-and-auditors,13-2011,13-2011,1,0.5,0.5,0.43333334,0.06666667,Accountants and auditors,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,1.1116265646795211,0.8556231003039514
actors,27-2011,27-2011,1,0.052631579,0.052631579,0.0,0.052631579,Actors,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.0559708793971339,0.1641337386018237
actuaries,15-2011,15-2011,1,0.43333334,0.43333334,0.30000001,0.13333334,Actuaries,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.7886120758648818,0.7659574468085106
administrative-services-managers,11-3011,11-3011,1,0.42058489,0.42058489,0.42058489,0.0,Administrative services and facilities managers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.7268430587890452,0.729483282674772
adult-literacy-and-ged-teachers,25-3011,25-3011,1,0.43589744,0.43589744,0.30769232,0.12820514,Adult basic and secondary education and ESL teachers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.8010356988687884,0.7750759878419453
advertising-promotions-and-marketing-managers,11-2011 | 11-2021,11-2011 | 11-2021,2,0.40833333,0.40833333,0.30000001,0.10833334,"Advertising, promotions, and marketing managers",eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.6674815819941693,0.7051671732522796
advertising-sales-agents,41-3011,41-3011,1,0.60000002,0.60000002,0.55000001,0.050000001,Advertising sales agents,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,1.5961484432580144,0.939209726443769
aerospace-engineering-and-operations-technicians,17-3021,17-3021,1,0.20833333,0.20833333,0.16666667,0.041666668,Aerospace engineering and operations technologists and technicians,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.30156198135410506,0.46504559270516715
aerospace-engineers,17-2011,17-2011,1,0.3611111,0.3611111,0.27777779,0.083333336,Aerospace engineers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.43867959185191047,0.6413373860182371
agricultural-and-food-science-technicians,19-4011,19-4011,1,0.32454684,0.32454684,0.28939933,0.035147507,Agricultural and food science technicians,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.2615177878439465,0.5805471124620061
agricultural-and-food-scientists,19-1011 | 19-1012 | 19-1013,19-1011 | 19-1012 | 19-1013,3,0.4131054199999999,0.41310541999999995,0.35754986333333333,0.05555555533333333,Agricultural and food scientists,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.6906033974852621,0.7142857142857143
agricultural-engineers,17-2021,17-2021,1,0.35714287,0.35714287,0.35714287,0.0,Agricultural engineers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.4194526531549828,0.6231003039513677
agricultural-workers,45-2021 | 45-2091 | 45-2092 | 45-2093,45-2021 | 45-2091 | 45-2092 | 45-2093,4,0.014583334,0.014583334,0.004166667,0.010416667,Agricultural workers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.2403229139668746,0.06382978723404255
air-traffic-controllers,53-2021,53-2021,1,0.10869565,0.10869565,0.086956523,0.021739131,Air traffic controllers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.7843282437088805,0.3100303951367781
aircraft-and-avionics-equipment-mechanics-and-technicians,49-2091 | 49-3011,49-2091 | 49-3011,2,0.07692308,0.07692308,0.05769231,0.01923077,Aircraft and avionics equipment mechanics and technicians,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.9382732659565429,0.22796352583586627
airline-and-commercial-pilots,53-2011 | 53-2012,53-2011 | 53-2012,2,0.096153849,0.096153849,0.067307694,0.028846155000000002,Airline and commercial pilots,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.8450960013681053,0.2735562310030395
animal-care-and-service-workers,39-2011 | 39-2021,39-2011 | 39-2021,2,0.049043063,0.049043063,0.049043063,0.0,Animal care and service workers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.0733580210559954,0.15501519756838905
announcers,27-3011,27-3011,1,0.375,0.375,0.25,0.125,Announcers and DJs,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.5059743375868496,0.6610942249240122
anthropologists-and-archeologists,19-3091,19-3091,1,0.40000001,0.40000001,0.40000001,0.0,Anthropologists and archeologists,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.6271048314575622,0.6960486322188449
arbitrators-mediators-and-conciliators,23-1022,23-1022,1,0.52499998,0.52499998,0.25,0.27500001,"Arbitrators, mediators, and conciliators",eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,1.2327569131936993,0.8829787234042553
architects,17-1011,17-1011,1,0.375,0.375,0.27083334,0.10416666,Architects,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.5059743375868496,0.6610942249240122
architectural-and-engineering-managers,11-9041,11-9041,1,0.51190478,0.51190478,0.34711778,0.16478696,Architectural and engineering managers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,1.1693078168399071,0.8693009118541033
art-directors,27-1011,27-1011,1,0.34375,0.34375,0.21875,0.125,Art directors,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.35456128081368177,0.5987841945288754
assemblers-and-fabricators,51-2011 | 51-2021 | 51-2031 | 51-2041 | 51-2091,51-2011 | 51-2021 | 51-2031 | 51-2041 | 51-2091,6,0.0471776601666666,0.04717766016666666,0.03459596083333333,0.012581699666666666,Assemblers and fabricators,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.0823963040994622,0.14285714285714285
athletes-and-sports-competitors,27-2021,27-2021,1,0.0,0.0,0.0,0.0,Athletes and sports competitors,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.310982343691165,0.028875379939209727
athletic-trainers,29-9091,29-9091,1,0.065217391,0.065217391,0.065217391,0.0,Athletic trainers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.9949898788565764,0.20364741641337386
atmospheric-scientists-including-meteorologists,19-2021,19-2021,1,0.46296296,0.46296296,0.37037036,0.09259259,"Atmospheric scientists, including meteorologists",eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.9321740385921582,0.8054711246200608
audiologists,29-1181,29-1181,1,0.090909094,0.090909094,0.090909094,0.0,Audiologists,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.8705079817385487,0.2613981762917933
automotive-body-and-glass-repairers,49-3021 | 49-3022,49-3021 | 49-3022,2,0.0,0.0,0.0,0.0,Automotive body and glass repairers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.310982343691165,0.028875379939209727
automotive-service-technicians-and-mechanics,49-3023,49-3023,1,0.1,0.1,0.083333336,0.016666668,Automotive service technicians and mechanics,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.8264605620170277,0.2811550151975684
bakers,51-3011,51-3011,1,0.083333336,0.083333336,0.055555556,0.027777778,Bakers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.9072141793754698,0.24316109422492402
barbers-hairstylists-and-cosmetologists,39-5011 | 39-5012,39-5011 | 39-5012,2,0.084239131,0.084239131,0.0592391325,0.0250000005,"Barbers, hairstylists, and cosmetologists",eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.9028254053031545,0.24924012158054712
bartenders,35-3011,35-3011,1,0.0,0.0,0.0,0.0,Bartenders,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.310982343691165,0.028875379939209727
bill-and-account-collectors,43-3011,43-3011,1,0.83333331,0.83333331,0.69999999,0.13333334,Bill and account collectors,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,2.726699057204896,0.993920972644377
biochemists-and-biophysicists,19-1021,19-1021,1,0.47916666,0.47916666,0.41666666,0.0625,Biochemists and biophysicists,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,1.0106844945292905,0.8358662613981763
biological-technicians,19-4021,19-4021,1,0.3611111,0.3611111,0.27777779,0.083333336,Biological technicians,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.43867959185191047,0.6413373860182371
biomedical-engineers,17-2031,17-2031,1,0.58333331,0.58333331,0.58333331,0.0,Bioengineers and biomedical engineers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,1.515394603019553,0.9224924012158054
boilermakers,47-2011,47-2011,1,0.0,0.0,0.0,0.0,Boilermakers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.310982343691165,0.028875379939209727
bookkeeping-accounting-and-auditing-clerks,43-3031,43-3031,1,0.86666667,0.86666667,0.33333334,0.53333336,"Bookkeeping, accounting, and auditing clerks",eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,2.8882064469687503,1.0
brickmasons-blockmasons-and-stonemasons,47-2021 | 47-2022 | 47-2051 | 47-2053,47-2021 | 47-2022 | 47-2051 | 47-2053,4,0.0,0.0,0.0,0.0,Masonry workers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.310982343691165,0.028875379939209727
broadcast-and-sound-engineering-technicians,27-4011 | 27-4012 | 27-4014,27-4011 | 27-4012 | 27-4014,3,0.1798029599999999,0.17980295999999998,0.07019704666666667,0.109605909,"Broadcast, sound, and video technicians",eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.43979783839632913,0.42857142857142855
budget-analysts,13-2031,13-2031,1,0.42307693,0.42307693,0.42307693,0.0,Budget analysts,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,0.7389175353970775,0.743161094224924
bus-drivers,53-3021,53-3021,1,0.0,0.0,0.0,0.0,Bus drivers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-1.310982343691165,0.028875379939209727
butchers-and-meat-cutters,51-3021,51-3021,1,0.125,0.125,0.041666668,0.083333336,Butchers,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.7053301165984933,0.3434650455927052
cardiovascular-technologists-and-technicians,29-2031,29-2031,1,0.12,0.12,0.039999999,0.079999998,Cardiovascular technologists and technicians,eisfeldt_genaiexp_total,slug,genaiexp_estz_occscores.csv,,-0.7295562056822003,0.3282674772036474
