comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
accountants-and-auditors,13-2011,Accountants and Auditors,1,1.572091,Accountants and auditors,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.2235921728113293,0.8936170212765957
actors,27-2011,Actors,1,-0.4134647,Actors,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.7016486084747786,0.2613981762917933
actuaries,15-2011,Actuaries,1,1.636606,Actuaries,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.286147410624438,0.9240121580547113
administrative-services-managers,11-3011,Administrative Services Managers,1,0.5163846,Administrative services and facilities managers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.19995480300863655,0.5440729483282675
adult-literacy-and-ged-teachers,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,1,0.8028032,Adult basic and secondary education and ESL teachers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.47767290945051244,0.6413373860182371
advertising-promotions-and-marketing-managers,11-2011 | 11-2021,Advertising and Promotions Managers | Marketing Managers,2,1.612478,"Advertising, promotions, and marketing managers",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.2627523431524594,0.9118541033434651
advertising-sales-agents,41-3011,Advertising Sales Agents,1,1.129713,Advertising sales agents,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.7946522209662181,0.756838905775076
aerospace-engineering-and-operations-technicians,17-3021,Aerospace Engineering and Operations Technicians,1,0.6987672,Aerospace engineering and operations technologists and technicians,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.3767971949480779,0.5987841945288754
aerospace-engineers,17-2011,Aerospace Engineers,1,1.711465,Aerospace engineers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.3587324303477812,0.9452887537993921
agricultural-and-food-science-technicians,19-4011,Agricultural and Food Science Technicians,1,0.4328247,Agricultural and food science technicians,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.11893318918023124,0.5045592705167173
agricultural-and-food-scientists,19-1011 | 19-1012 | 19-1013,Animal Scientists | Food Scientists and Technologists | Soil and Plant Scientists,3,1.0175451000000002,Agricultural and food scientists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.6858916279336371,0.723404255319149
agricultural-engineers,17-2021,Agricultural Engineers,1,1.42221,Agricultural engineers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.0782640847904577,0.8601823708206687
agricultural-workers,45-2021 | 45-2091 | 45-2092 | 45-2093,"Animal Breeders | Agricultural Equipment Operators | Farmworkers and Laborers, Crop, Nursery, and Greenhouse | Farmworkers, Farm, Ranch, and Aquacultural Animals",4,-1.104106175,Agricultural workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.3713105740986036,0.09422492401215805
air-traffic-controllers,53-2021,Air Traffic Controllers,1,1.893165,Air traffic controllers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.534912957521955,0.9726443768996961
aircraft-and-avionics-equipment-mechanics-and-technicians,49-2091 | 49-3011,Avionics Technicians | Aircraft Mechanics and Service Technicians,2,0.00947415,Aircraft and avionics equipment mechanics and technicians,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.2915573065736292,0.3708206686930091
airline-and-commercial-pilots,53-2011 | 53-2012,"Airline Pilots, Copilots, and Flight Engineers | Commercial Pilots",2,0.9988195,Airline and commercial pilots,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.6677348525915746,0.7112462006079028
animal-care-and-service-workers,39-2011 | 39-2021,Animal Trainers | Nonfarm Animal Caretakers,2,-1.343993,Animal care and service workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.6039103940801052,0.06990881458966565
announcers,27-3011,Radio and Television Announcers,1,0.0570952,Announcers and DJs,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.24538283385162762,0.3890577507598784
anthropologists-and-archeologists,19-3091,Anthropologists and Archeologists,1,0.8613545,Anthropologists and archeologists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.5344456056570793,0.6565349544072948
arbitrators-mediators-and-conciliators,23-1022,"Arbitrators, Mediators, and Conciliators",1,0.7957938,"Arbitrators, mediators, and conciliators",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.47087643291130127,0.6322188449848024
architects,17-1011,"Architects, Except Landscape and Naval",1,2.38871,Architects,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,2.0154048636228135,0.9969604863221885
architectural-and-engineering-managers,11-9041,Architectural and Engineering Managers,1,1.326039,Architectural and engineering managers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.9850144563982315,0.8328267477203647
art-directors,27-1011,Art Directors,1,2.24891,Art directors,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.879851546622541,0.9908814589665653
assemblers-and-fabricators,51-2011 | 51-2021 | 51-2031 | 51-2041 | 51-2091,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers | Coil Winders, Tapers, and Finishers | Engine and Other Machine Assemblers | Structural Metal Fabricators and Fitters | Fiberglass Laminators and Fabricators",6,-0.5018803,Assemblers and fabricators,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.7873784214545303,0.22492401215805471
athletes-and-sports-competitors,27-2021,Athletes and Sports Competitors,1,-2.461248,Athletes and sports competitors,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-2.6872267115703723,0.0121580547112462
athletic-trainers,29-9091,Athletic Trainers,1,-0.6848776,Athletic trainers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.9648168407470479,0.182370820668693
atmospheric-scientists-including-meteorologists,19-2021,Atmospheric and Space Scientists,1,1.361813,"Atmospheric scientists, including meteorologists",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.0197017551276146,0.851063829787234
audiologists,29-1181,Audiologists,1,0.0039067,Audiologists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.296955635005197,0.3677811550151976
automotive-body-and-glass-repairers,49-3021 | 49-3022,Automotive Body and Related Repairers | Automotive Glass Installers and Repairers,2,-0.68072515,Automotive body and glass repairers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.9607905290791096,0.18541033434650456
automotive-service-technicians-and-mechanics,49-3023,Automotive Service Technicians and Mechanics,1,-0.7076737,Automotive service technicians and mechanics,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.9869204671395364,0.1702127659574468
bakers,51-3011,Bakers,1,-0.0537325,Bakers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.35284393793253677,0.3556231003039514
barbers-hairstylists-and-cosmetologists,39-5011 | 39-5012,"Barbers | Hairdressers, Hairstylists, and Cosmetologists",2,-0.6749004000000001,"Barbers, hairstylists, and cosmetologists",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.9551427166098869,0.1884498480243161
bartenders,35-3011,Bartenders,1,-1.072689,Bartenders,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.3408477537693615,0.10030395136778116
bill-and-account-collectors,43-3011,Bill and Account Collectors,1,0.7641455,Bill and account collectors,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.44018950843047355,0.6170212765957447
biochemists-and-biophysicists,19-1021,Biochemists and Biophysicists,1,1.209346,Biochemists and biophysicists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.8718662216291846,0.7872340425531915
biological-technicians,19-4021,Biological Technicians,1,0.6145548,Biological technicians,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.29514290201135573,0.5653495440729484
biomedical-engineers,17-2031,Biomedical Engineers,1,1.651616,Bioengineers and biomedical engineers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.3007014541736086,0.9300911854103343
boilermakers,47-2011,Boilermakers,1,-0.8259925,Boilermakers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.1016451152331834,0.14285714285714285
bookkeeping-accounting-and-auditing-clerks,43-3031,"Bookkeeping, Accounting, and Auditing Clerks",1,0.7600526,"Bookkeeping, accounting, and auditing clerks",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.4362209378213861,0.6139817629179332
brickmasons-blockmasons-and-stonemasons,47-2021 | 47-2022 | 47-2051 | 47-2053,Brickmasons and Blockmasons | Stonemasons | Cement Masons and Concrete Finishers | Terrazzo Workers and Finishers,4,-1.5615465,Masonry workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.8148553050244451,0.04559270516717325
broadcast-and-sound-engineering-technicians,27-4011 | 27-4012 | 27-4014,Audio and Video Equipment Technicians | Broadcast Technicians | Sound Engineering Technicians,3,0.4173630333333333,"Broadcast, sound, and video technicians",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.10394119917294069,0.48936170212765956
budget-analysts,13-2031,Budget Analysts,1,1.326385,Budget analysts,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.9853499460096914,0.8358662613981763
bus-drivers,53-3021,"Bus Drivers, Transit and Intercity",1,0.4810737,Bus drivers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.16571653676210638,0.5319148936170213
butchers-and-meat-cutters,51-3021,Butchers and Meat Cutters,1,-0.9157081,Butchers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.1886354383137963,0.11550151975683891
cardiovascular-technologists-and-technicians,29-2031,Cardiovascular Technologists and Technicians,1,-0.2056899,Cardiovascular technologists and technicians,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.5001853514714295,0.3100303951367781
career-and-technical-education-teachers,25-1194 | 25-2023 | 25-2032,"Vocational Education Teachers, Postsecondary | Career/Technical Education Teachers, Middle School | Career/Technical Education Teachers, Secondary School",3,-0.0113202666666666,Career and technical education teachers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.3117200544581243,0.3617021276595745
carpenters,47-2031,Carpenters,1,-1.13992,Carpenters,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.406036488070115,0.08814589665653495
cartographers-and-photogrammetrists,17-1021,Cartographers and Photogrammetrists,1,1.698504,Cartographers and photogrammetrists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.3461651446421978,0.9422492401215805
cashiers,41-2011,Cashiers,1,-0.8545607,Cashiers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.1293455034358097,0.13069908814589665
chefs-and-head-cooks,35-1011,Chefs and Head Cooks,1,-0.4526673,Chefs and head cooks,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.7396603571517091,0.24012158054711247
chemical-engineers,17-2041,Chemical Engineers,1,2.256071,Chemical engineers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.8867950180319757,0.993920972644377
chemical-technicians,19-4031,Chemical Technicians,1,0.4307853,Chemical technicians,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.11695573971892681,0.5015197568389058
chemists-and-materials-scientists,19-2031 | 19-2032,Chemists | Materials Scientists,2,1.19890945,Chemists and materials scientists,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.8617467010959999,0.7750759878419453
childcare-workers,39-9011,Childcare Workers,1,-0.6149341,Childcare workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.8969980036396906,0.20364741641337386
chiropractors,29-1011,Chiropractors,1,-0.7665408,Chiropractors,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-1.043999370338297,0.15501519756838905
civil-engineering-technicians,17-3022,Civil Engineering Technicians,1,1.676103,Civil engineering technologists and technicians,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.3244446163580557,0.939209726443769
civil-engineers,17-2051,Civil Engineers,1,1.97666,Civil engineers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,1.6158716428076327,0.9848024316109423
claims-adjusters-appraisers-examiners-and-investigators,13-1031 | 13-1032,"Claims Adjusters, Examiners, and Investigators | Insurance Appraisers, Auto Damage",2,0.9917472,"Claims adjusters, appraisers, examiners, and investigators",felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,0.660877386755945,0.7051671732522796
coaches-and-scouts,27-2022,Coaches and Scouts,1,0.0731837,Coaches and scouts,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.22978305173031943,0.3981762917933131
community-health-workers,21-1094,Community Health Workers,1,-0.1673761,Community health workers,felten_image_generation_aioe,slug,Image_Generation_AIOE_and_AIIE.xlsx,IG AIOE,-0.4630354038542261,0.3252279635258359
