comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
accountants-and-auditors,13-2011,Accountants and Auditors,1,0.1945955951093146,Accountants and auditors,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.22382797573241903,0.6392961876832844
actors,27-2011,Actors,1,0.1308745576876522,Actors,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.46635329605355663,0.3489736070381232
actuaries,15-2011,Actuaries,1,0.1581477988708334,Actuaries,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.17094881038938423,0.4633431085043988
administrative-services-managers,11-3012 | 11-3013,Administrative Services Managers | Facilities Managers,2,0.0743821012187685,Administrative services and facilities managers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-1.0782396844373259,0.15249266862170088
adult-literacy-and-ged-teachers,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1,0.1704823680824817,Adult basic and secondary education and ESL teachers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.037349468478270295,0.533724340175953
advertising-promotions-and-marketing-managers,11-2011 | 11-2021,Advertising and Promotions Managers | Marketing Managers,2,0.1888476381858418,"Advertising, promotions, and marketing managers",microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.16157016606491972,0.6129032258064516
advertising-sales-agents,41-3011,Advertising Sales Agents,1,0.3529731324010231,Advertising sales agents,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,1.9392615991210074,0.9648093841642229
aerospace-engineering-and-operations-technicians,17-3021,Aerospace Engineering and Operations Technologists and Technicians,1,0.2278043882150891,Aerospace engineering and operations technologists and technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.583522167597992,0.7272727272727273
aerospace-engineers,17-2011,Aerospace Engineers,1,0.1955306356404219,Aerospace engineers,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,0.23395567435509834,0.6422287390029325
agricultural-and-food-science-technicians,19-4012 | 19-4013,Agricultural Technicians | Food Science Technicians,2,0.1102616857833311,Agricultural and food science technicians,microsoft_ai_applicability,slug,microsoft_ai_applicability_scores.csv,,-0.6896173658448825,0.26392961876832843
