comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
11-10,11-1011.00 | 11-1011.03 | 11-1021.00,Chief Executives | Chief Sustainability Officers | General and Operations Managers,3,0.2503340999999999,Top executives,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.8181010378641315,0.24074074074074073
11-20,11-2011.00 | 11-2021.00 | 11-2022.00 | 11-2031.00,Advertising and Promotions Managers | Marketing Managers | Sales Managers | Public Relations and Fundraising Managers,4,0.5579993225000001,Sales managers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.775150607412759,0.8333333333333334
11-30,11-3011.00 | 11-3021.00 | 11-3031.01 | 11-3031.02 | 11-3051.00,"Administrative Services Managers | Computer and Information Systems Managers | Treasurers and Controllers | Financial Managers, Branch or Department | Industrial Production Managers",14,0.5393125057142857,Financial managers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6783804838775024,0.7962962962962963
11-31,11-3111.00 | 11-3121.00 | 11-3131.00,Compensation and Benefits Managers | Human Resources Managers | Training and Development Managers,3,0.4886859166666666,Human resources managers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.41620949282609726,0.6944444444444444
11-90,11-9013.01 | 11-9013.02 | 11-9013.03 | 11-9021.00 | 11-9031.00,"Nursery and Greenhouse Managers | Farm and Ranch Managers | Aquacultural Managers | Construction Managers | Education Administrators, Preschool and Childcare Center/Program",15,0.5306007620000001,"Farmers, ranchers, and other agricultural managers",webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6332665126160408,0.7685185185185185
11-91,11-9111.00 | 11-9121.00 | 11-9121.01 | 11-9121.02 | 11-9131.00,Medical and Health Services Managers | Natural Sciences Managers | Clinical Research Coordinators | Water Resource Specialists | Postmasters and Mail Superintendents,17,0.4326621276470588,Medical and health services managers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.12608897382549594,0.5925925925925926
13-10,13-1011.00 | 13-1021.00 | 13-1022.00 | 13-1023.00 | 13-1031.01,"Agents and Business Managers of Artists, Performers, and Athletes | Buyers and Purchasing Agents, Farm Products | Wholesale and Retail Buyers, Except Farm Products | Purchasing Agents, Except Wholesale, Retail, and Farm Products | Claims Examiners, Property and Casualty Insurance",20,0.48962319425,Project management specialists,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.4210632070015013,0.7037037037037037
13-11,13-1111.00 | 13-1121.00 | 13-1131.00 | 13-1141.00 | 13-1151.00,"Management Analysts | Meeting, Convention, and Event Planners | Fundraisers | Compensation, Benefits, and Job Analysis Specialists | Training and Development Specialists",12,0.4818873878333333,Management analysts,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.3810031501619677,0.6759259259259259
13-20,13-2011.01 | 13-2011.02 | 13-2021.01 | 13-2021.02 | 13-2031.00,"Accountants | Auditors | Assessors | Appraisers, Real Estate | Budget Analysts",18,0.5555130127777779,Accountants and auditors,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.7622751935996218,0.8240740740740741
15-11,15-1111.00 | 15-1121.00 | 15-1121.01 | 15-1122.00 | 15-1131.00,Computer and Information Research Scientists | Computer Systems Analysts | Informatics Nurse Specialists | Information Security Analysts | Computer Programmers,24,0.5783245691666666,Computer and Information Research Scientists | Computer Systems Analysts | Informatics Nurse Specialists | Information Security Analysts | Computer Programmers,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.8804053789114296,0.8425925925925926
