comparison_key,raw_code_examples,raw_title_examples,source_row_count,metric_value,pca_weighted_score,z_score_variance,aioe,dv_rating_beta,human_rating_beta,genai_total,genai_core,ai_applicability_score,pca_standardized,comparison_title,metric_name,comparison_level,source_file,sheet_name,metric_zscore,metric_percentile
accountants-and-auditors,13-2011,Accountants and Auditors,1,1.26895294652339,2.72414529471034,0.149014720562069,1.45083283314628,1.05418351039915,1.13753262973062,1.24832743357089,1.3345452464549,0.364141500405485,1.26895294652339,Accountants and auditors,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,1.0614008950350635,0.8383233532934131
actors,27-2011,Actors,1,-0.54806363076631,-1.19495733235176,0.166933425337544,0.152881093937865,-0.628327280983325,-0.629019378827684,-0.751988121496177,-0.903788398328964,-0.110730005094058,-0.54806363076631,Actors,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.8384629009364458,0.2634730538922156
actuaries,15-2011,Actuaries,1,0.976894924467243,2.09420863050987,0.290668641521592,1.48470173892887,0.7831750607805,1.22027300635649,0.950242387453056,0.645828177564962,-0.0766161004534415,0.976894924467243,Actuaries,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.7560264315531846,0.7455089820359282
administrative-services-managers,11-3012 | 11-3013,Administrative Services Managers | Facilities Managers,2,0.1723202746500719,0.358830614053119,0.5301097604524085,0.35973168675635847,0.312222641950322,0.8078267119464115,-0.047039619373129005,0.18245376065383306,-0.8903071777368585,0.17232027465007196,Administrative services and facilities managers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.08523295344602319,0.46107784431137727
adult-literacy-and-ged-teachers,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",1,0.803697110377689,1.72064021254185,0.17333862411645,1.32033324394104,0.3514214032998,0.683307007154081,0.961707239195617,0.685561946516886,0.159970537024649,0.803697110377689,Adult basic and secondary education and ESL teachers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.5749316299741208,0.6976047904191617
advertising-promotions-and-marketing-managers,11-2011 | 11-2021,Advertising and Promotions Managers | Marketing Managers,2,0.9849610501507524,2.111606366310175,0.1725759209927055,1.276924823777815,0.7306540434125435,1.34305153698378,0.8384599264677024,0.645828177564962,0.2570435123671575,0.9849610501507525,"Advertising, promotions, and marketing managers",yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.764460333781371,0.7544910179640718
advertising-sales-agents,41-3011,Advertising Sales Agents,1,1.81503971295734,3.90199370164533,0.199191889568313,1.13747951143018,0.956898425920663,1.97434500068925,1.69545855555289,1.93717528109833,1.92501825443909,1.81503971295734,Advertising sales agents,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,1.6323865921246044,0.9640718562874252
aerospace-engineering-and-operations-technicians,17-3021,Aerospace Engineering and Operations Technologists and Technicians,1,0.115441520053037,0.236149467743623,0.128904498923887,0.38036205563802,-0.0072662506072418,-0.295134978584704,-0.0557994037113473,-0.0428903120887572,0.69541625567304,0.115441520053037,Aerospace engineering and operations technologists and technicians,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.14470510574748546,0.44610778443113774
aerospace-engineers,17-2011,Aerospace Engineers,1,0.965544093555233,2.06972615093175,0.163695033131648,1.31031255759164,1.10580416746937,1.12712584322954,0.627315327620901,0.531041779840637,0.288720069764285,0.965544093555233,Aerospace engineers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.7441580573327969,0.7425149700598802
agricultural-and-food-science-technicians,19-4012 | 19-4013,Agricultural Technicians | Food Science Technicians,2,0.21573712676634,0.452475934252367,0.147682314504724,0.09056113869339605,0.2566622825035175,0.11535493340233545,0.4616807871970215,0.588862047522879,-0.49134203531626697,0.21573712676634,Agricultural and food science technicians,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.03983650164601555,0.4820359281437126
agricultural-and-food-scientists,19-1011 | 19-1012 | 19-1013,Animal Scientists | Food Scientists and Technologists | Soil and Plant Scientists,3,1.101596861220096,2.3631768358835568,0.3318074602200727,0.8038887075558017,0.5822287407768875,1.80802881266916,0.8597973565024768,0.9430955232080424,0.7627805973458083,1.1015968612200961,Agricultural and food scientists,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.8864141769845796,0.781437125748503
agricultural-engineers,17-2021,Agricultural Engineers,1,0.589581050362476,1.25881568997558,0.170685489531907,0.920028360957825,0.448596727917963,0.230985894525445,0.609572194111919,0.940993244559414,-0.128956815797246,0.589581050362476,Agricultural engineers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.35105290721323956,0.5988023952095808
agricultural-workers,45-2021 | 45-2091 | 45-2092 | 45-2093,"Animal Breeders | Agricultural Equipment Operators | Farmworkers and Laborers, Crop, Nursery, and Greenhouse | Farmworkers, Farm, Ranch, and Aquacultural Animals",4,-1.077528125929915,-2.3369533492659076,0.12093162149056448,-1.2049601589471224,-1.055138703373814,-1.1142916439388,-0.9221131241915983,-0.8822659590383864,-0.486560293070768,-1.077528125929915,Agricultural workers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.3920684311149885,0.09880239520958084
air-traffic-controllers,53-2021,Air Traffic Controllers,1,0.0846907090673335,0.169823389256146,0.344420845946682,1.1278738598723,0.0645920504280072,0.102215051456527,-0.501309028598322,-0.454624181891433,0.0879739447451267,0.0846907090673335,Air traffic controllers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.1768580058468588,0.44011976047904194
aircraft-and-avionics-equipment-mechanics-and-technicians,49-2091 | 49-3011,Avionics Technicians | Aircraft Mechanics and Service Technicians,2,-0.7024452371527805,-1.52794128347332,0.032899397911982806,-0.40940774726289847,-0.6298441193207425,-0.902922375282098,-0.6433736144296575,-0.605785208670367,-0.535520923108349,-0.7024452371527805,Aircraft and avionics equipment mechanics and technicians,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.9998835662201262,0.20059880239520958
airline-and-commercial-pilots,53-2011 | 53-2012,"Airline Pilots, Copilots, and Flight Engineers | Commercial Pilots",2,-0.3633559269770105,-0.796563362694639,0.07605686165779375,-0.193953963989352,-0.14071738110127652,-0.311691229836422,-0.557387141405817,-0.556118015559323,-0.18063487468469147,-0.3633559269770105,Airline and commercial pilots,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.6453334140333826,0.31736526946107785
animal-care-and-service-workers,39-2011 | 39-2021,Animal Trainers | Animal Caretakers,2,-0.6993307531041655,-1.52122368784462,0.20987413727434096,-0.889122963766402,-0.625672417644584,-0.611416468014076,-0.768033441068661,-0.6504619289151455,-0.12209068503432907,-0.6993307531041655,Animal care and service workers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.9966270766750938,0.20658682634730538
announcers,27-3011,Broadcast Announcers and Radio Disc Jockeys,1,1.30317171338609,2.79795136823912,0.523536179438108,0.830144482203918,1.46069618482713,1.22252138615611,0.689416719675521,0.387558705204404,2.42369359303903,1.30317171338609,Announcers and DJs,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,1.0971798731235327,0.8473053892215568
anthropologists-and-archeologists,19-3091,Anthropologists and Archeologists,1,0.913141086090191,1.95669869329098,0.08670488497254,0.680232971394053,0.510609091336451,1.12413538733843,0.801198250586842,1.16236594452631,0.484910250655178,0.913141086090191,Anthropologists and archeologists,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.6893657247106246,0.7305389221556886
arbitrators-mediators-and-conciliators,23-1022,"Arbitrators, Mediators, and Conciliators",1,0.757480152502244,1.62095537571188,0.521249823597526,1.40141907193352,0.7831750607805,0.413757413720038,1.36011112788387,0.387558705204404,-0.531591925825775,0.757480152502244,"Arbitrators, mediators, and conciliators",yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.5266074010568088,0.6736526946107785
architects,17-1011,"Architects, Except Landscape and Naval",1,0.725036177924204,1.55097733170812,0.0972960329563095,1.0242073919459,0.730654043412544,0.701577015375311,0.689416719675521,0.495170998268108,0.0872637468164873,0.725036177924204,Architects,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.49268413724697585,0.6586826347305389
architectural-and-engineering-managers,11-9041,Architectural and Engineering Managers,1,0.738448454671171,1.57990612063108,0.212053350978936,0.818032726947453,0.523959261268404,0.218625343508837,1.30155860398107,0.889209760822767,0.0586798622187255,0.738448454671171,Architectural and engineering managers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.5067079493197979,0.6676646706586826
art-directors,27-1011,Art Directors,1,0.78327734042987,1.67659704031836,0.0742250313018821,1.00003921940517,0.7831750607805,0.705471562582344,0.549688699335043,0.226140317262733,0.866747098813298,0.78327734042987,Art directors,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.5535808167064755,0.6856287425149701
assemblers-and-fabricators,51-2011 | 51-2021 | 51-2031 | 51-2041 | 51-2051,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers | Coil Winders, Tapers, and Finishers | Engine and Other Machine Assemblers | Structural Metal Fabricators and Fitters | Fiberglass Laminators and Fabricators",6,-1.061590596819243,-2.3025778719107763,0.08133182969344553,-0.8538401169914046,-1.1394635777613769,-1.1693459243081321,-0.7763742105099146,-0.7250868230646486,-0.9753869876721734,-1.061590596819243,Assemblers and fabricators,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.375404227313517,0.10179640718562874
athletes-and-sports-competitors,27-2021,Athletes and Sports Competitors,1,-1.16962755012494,-2.53560156184965,0.676972968036314,-1.78338817583158,-1.47522868604162,-1.38784756119809,-0.987319524410207,-0.903788398328964,0.5445032569996,-1.16962755012494,Athletes and sports competitors,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.4883671461872245,0.0658682634730539
athletic-trainers,29-9091,Athletic Trainers,1,-0.315014586481345,-0.692296468875287,0.216619853282929,-0.328117541617761,-0.214724269210669,0.588635146371343,-0.695713222451779,-0.566915242457551,-0.540489352909385,-0.315014586481345,Athletic trainers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.5947879408636003,0.32934131736526945
atmospheric-scientists-including-meteorologists,19-2021,Atmospheric and Space Scientists,1,1.43674368353463,3.08605124891925,0.0593163518942287,1.34482912716822,1.0777494625399,1.56828309707967,1.08272520812635,1.00931836815348,1.51915093522677,1.43674368353463,"Atmospheric scientists, including meteorologists",yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,1.2368420828213245,0.8952095808383234
audiologists,29-1181,Audiologists,1,0.187259123745385,0.391052049711156,0.357810683375165,0.617771866201793,0.577865629251216,0.819652605697641,-0.580837996872083,-0.434207617441993,-0.101628476811607,0.187259123745385,Audiologists,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.06961296466639305,0.46706586826347307
automotive-body-and-glass-repairers,49-3021 | 49-3022,Automotive Body and Related Repairers | Automotive Glass Installers and Repairers,2,-1.28280697556773,-2.77971699212483,0.04609605944292175,-1.172218538471785,-1.3791263989428049,-1.2845177661519052,-0.987319524410207,-0.903788398328964,-1.071318107940241,-1.28280697556773,Automotive body and glass repairers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.6067070091995643,0.029940119760479042
automotive-service-technicians-and-mechanics,49-3023,Automotive Service Technicians and Mechanics,1,-0.851697616326903,-1.84986206208782,0.100778246749078,-0.939944322847286,-1.10567170928891,-1.03464753449477,-0.540190067473671,-0.473339550431109,-0.375999095550476,-0.851697616326903,Automotive service technicians and mechanics,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.1559411361947987,0.1497005988023952
bakers,51-3011,Bakers,1,-0.640937072131174,-1.39527501386695,0.0425569503433566,-0.381260244689148,-0.279603173018144,-0.816494576825079,-0.614711458245476,-0.61682237302582,-0.737317672331881,-0.640937072131174,Bakers,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.9355709246395536,0.23053892215568864
barbers-hairstylists-and-cosmetologists,39-5011 | 39-5012,"Barbers | Hairdressers, Hairstylists, and Cosmetologists",2,-0.8706503672499715,-1.8907410374703448,0.04462379735723285,-0.6958801647348005,-0.931603635529481,-1.08149711234019,-0.610661380095579,-0.5977952696501461,-0.6968017710221954,-0.8706503672499715,"Barbers, hairstylists, and cosmetologists",yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-1.1757580414244215,0.1407185628742515
bartenders,35-3011,Bartenders,1,-0.699985902448444,-1.52263677209953,0.173440513442133,-0.607605698672456,-0.596960562277462,-0.713333621313285,-0.987319524410207,-0.903788398328964,0.182371660449303,-0.699985902448444,Bartenders,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.9973120976791432,0.20359281437125748
bill-and-account-collectors,43-3011,Bill and Account Collectors,1,1.87045638374942,4.02152129583395,0.856329999479136,1.24482242229707,1.6704051041749,0.693509739017884,2.73876091367226,2.71198343991058,0.705532503998848,1.87045638374942,Bill and account collectors,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,1.690329996630131,0.9670658682634731
biochemists-and-biophysicists,19-1021,Biochemists and Biophysicists,1,1.0456482424102,2.24250188899595,0.0614174828694144,0.885773076877659,0.577865629251216,0.764465101525248,1.15517675766846,1.24845673979072,0.881468773405535,1.0456482424102,Biochemists and biophysicists,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,0.8279145701895314,0.7664670658682635
biological-technicians,19-4021,Biological Technicians,1,0.224369133903907,0.471094213398789,0.257878864264353,0.292346520264758,0.406774436310146,-0.0927807966192623,0.627315327620901,0.531041779840637,-0.729920932019117,0.224369133903907,Biological technicians,yale_pca_standardized_reference,slug,TBL_Data_AI_Exposure_What_do_we_know_202602_Updated.xlsx,F1|FA5,-0.030810916490544227,0.48502994011976047
