comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
6241,624100,1,3056100,129,3.0443,repo_current,naics4,industry_exposure_4digit.csv,-1.751344853094885,0.021505376344086023,6241,Individual and Family Services,1,1.163092,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,1.1560318349194583,0.8414634146341463,Individual and family services,repo_current,felten_base_aiie,1.8812079999999998,-0.8199580382900603,0.8199580382900603
6216,621600,1,1670600,85,3.1441,repo_current,naics4,industry_exposure_4digit.csv,-1.6767572165255686,0.026881720430107527,6216,Home Health Care Services,1,0.6927072,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.6874879036919592,0.7642276422764228,Home healthcare services,repo_current,felten_base_aiie,2.4513928,-0.7373459218463153,0.7373459218463153
6232,623200,1,598800,90,3.5449,repo_current,naics4,industry_exposure_4digit.csv,-1.377210876475649,0.08064516129032258,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",1,0.8572415,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.8513782924625246,0.7886178861788617,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",repo_current,felten_base_aiie,2.6876585000000004,-0.7079727248885391,0.7079727248885391
4889,488900,1,14400,33,6.5069,repo_current,naics4,industry_exposure_4digit.csv,0.8365023451507505,0.7956989247311828,4889,Other Support Activities for Transportation,1,-1.105623,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1038044627984847,0.11788617886178862,Other support activities for transportation,repo_current,felten_base_aiie,7.6125229999999995,0.6778127458693941,0.6778127458693941
4922,492200,1,24000,32,6.0333,repo_current,naics4,industry_exposure_4digit.csv,0.48254738844505723,0.7311827956989247,4922,Local Messengers and Local Delivery,1,-1.182829,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1807083141864338,0.07723577235772358,Local messengers and local delivery,repo_current,felten_base_aiie,7.216129,0.6539470233412011,0.6539470233412011
6239,623900,1,137900,72,3.9637,repo_current,naics4,industry_exposure_4digit.csv,-1.0642118564833685,0.16129032258064516,6239,Other Residential Care Facilities,1,0.7190148,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.7136925479006168,0.7723577235772358,Other residential care facilities,repo_current,felten_base_aiie,3.2446851999999997,-0.6110674009965906,0.6110674009965906
8123,812300,1,60100,33,5.7471,repo_current,naics4,industry_exposure_4digit.csv,0.268649777361507,0.6666666666666666,8123,Drycleaning and Laundry Services,1,-1.148211,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1462257930436728,0.0975609756097561,Drycleaning and laundry services,repo_current,felten_base_aiie,6.8953109999999995,0.5691056910569106,0.5691056910569106
5621,562100,1,95300,49,5.3494,repo_current,naics4,industry_exposure_4digit.csv,-0.028579712253894052,0.532258064516129,5621,Waste Collection,1,-1.332496,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.3297895866999718,0.052845528455284556,Waste collection,repo_current,felten_base_aiie,6.681896,0.47941253606084444,0.47941253606084444
6244,624400,1,1026000,69,3.665,repo_current,naics4,industry_exposure_4digit.csv,-1.2874516064157806,0.10752688172043011,6244,Child Day Care Services,1,0.0572718,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.05453930425354587,0.573170731707317,Child daycare services,repo_current,felten_base_aiie,3.6077282,-0.4656438499868869,0.4656438499868869
6219,621900,1,297500,106,4.7176,repo_current,naics4,industry_exposure_4digit.csv,-0.5007687782307879,0.3225806451612903,6219,Other Ambulatory Health Care Services,1,0.7869348,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.7813467404021002,0.7804878048780488,Other ambulatory healthcare services,repo_current,felten_base_aiie,3.9306652,-0.4579071597167585,0.4579071597167585
