comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
4889,488900,1,14400,33,6.5069,repo_current,naics4,industry_exposure_4digit.csv,0.8365023451507505,0.7956989247311828,488900,Other Support Activities for Transportation,1,-1.389063,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-1.3820812124408148,0.06910569105691057,Other support activities for transportation,repo_current,felten_image_generation_aiie,7.895963,0.7265932336742722,0.7265932336742722
6241,624100,1,3056100,129,3.0443,repo_current,naics4,industry_exposure_4digit.csv,-1.751344853094885,0.021505376344086023,624100,Individual and Family Services,1,0.6038074,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.6012183269572845,0.7317073170731707,Individual and family services,repo_current,felten_image_generation_aiie,2.4404926,-0.7102019407290847,0.7102019407290847
4453,445300,1,89900,24,6.7775,repo_current,naics4,industry_exposure_4digit.csv,1.0387409669509204,0.8225806451612904,445300,"Beer, Wine, and Liquor Stores",1,-1.003907,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.9987749435552846,0.12601626016260162,"Beer, wine, and liquor retailers",repo_current,felten_image_generation_aiie,7.781407,0.6965643849986888,0.6965643849986888
8123,812300,1,60100,33,5.7471,repo_current,naics4,industry_exposure_4digit.csv,0.268649777361507,0.6666666666666666,812300,Drycleaning and Laundry Services,1,-1.479294,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-1.471878873512719,0.052845528455284556,Drycleaning and laundry services,repo_current,felten_image_generation_aiie,7.226394,0.6138211382113821,0.6138211382113821
4832,483200,1,22600,22,3.5575,repo_current,naics4,industry_exposure_4digit.csv,-1.3677940005159959,0.08602150537634409,483200,Inland Water Transportation,1,0.3678075,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.3663518283791544,0.6707317073170732,Inland water transportation,repo_current,felten_image_generation_aiie,3.1896925,-0.5847102019407291,0.5847102019407291
6216,621600,1,1670600,85,3.1441,repo_current,naics4,industry_exposure_4digit.csv,-1.6767572165255686,0.026881720430107527,621600,Home Health Care Services,1,0.1316011,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.13127982152768872,0.5975609756097561,Home healthcare services,repo_current,felten_image_generation_aiie,3.0124988999999998,-0.5706792551796486,0.5706792551796486
4441,444100,1,332500,66,6.7435,repo_current,naics4,industry_exposure_4digit.csv,1.0133303492820154,0.8172043010752689,444100,Building Material and Supplies Dealers,1,-0.7177699,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.7140120314087104,0.25203252032520324,Building material and supplies dealers,repo_current,felten_image_generation_aiie,7.4612699,0.5651717807500656,0.5651717807500656
6232,623200,1,598800,90,3.5449,repo_current,naics4,industry_exposure_4digit.csv,-1.377210876475649,0.08064516129032258,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",1,0.2505063,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.2496139733079745,0.6382113821138211,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",repo_current,felten_image_generation_aiie,3.2943937,-0.5575662208234985,0.5575662208234985
5613,561300,1,1549300,241,5.6733,repo_current,naics4,industry_exposure_4digit.csv,0.21349378959782472,0.6451612903225806,561300,Employment Services,1,-0.923879,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.9191312820613152,0.15853658536585366,Employment services,repo_current,felten_image_generation_aiie,6.597179000000001,0.48662470495672694,0.48662470495672694
1133,113300,1,33400,11,3.4521,repo_current,naics4,industry_exposure_4digit.csv,-1.4465669152896024,0.053763440860215055,113300,Logging,1,-0.0750081,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.07433712736944467,0.524390243902439,Logging,repo_current,felten_image_generation_aiie,3.5271081,-0.470626803042224,0.470626803042224
4442,444200,1,55400,42,5.5108,repo_current,naics4,industry_exposure_4digit.csv,0.09204598456261504,0.5698924731182796,444200,Lawn and Garden Equipment and Supplies Stores,1,-1.037935,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-1.0326395223691596,0.11382113821138211,Lawn and garden equipment and supplies retailers,repo_current,felten_image_generation_aiie,6.548735,0.4560713349068975,0.4560713349068975
4245,424500,1,32300,47,5.9938,repo_current,naics4,industry_exposure_4digit.csv,0.45302622968265294,0.7204301075268817,424500,Farm Product Raw Material Merchant Wholesalers,1,-0.6547234,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.6512683154045676,0.2682926829268293,Farm product raw material merchant wholesalers,repo_current,felten_image_generation_aiie,6.6485234,0.45213742460005246,0.45213742460005246
6239,623900,1,137900,72,3.9637,repo_current,naics4,industry_exposure_4digit.csv,-1.0642118564833685,0.16129032258064516,623900,Other Residential Care Facilities,1,0.1491291,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.14872364242370376,0.6097560975609756,Other residential care facilities,repo_current,felten_image_generation_aiie,3.8145708999999997,-0.44846577498033047,0.44846577498033047
4922,492200,1,24000,32,6.0333,repo_current,naics4,industry_exposure_4digit.csv,0.48254738844505723,0.7311827956989247,492200,Local Messengers and Local Delivery,1,-0.6294212,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.6260876304961268,0.2845528455284553,Local messengers and local delivery,repo_current,felten_image_generation_aiie,6.6627212,0.44662995017046947,0.44662995017046947
6219,621900,1,297500,106,4.7176,repo_current,naics4,industry_exposure_4digit.csv,-0.5007687782307879,0.3225806451612903,621900,Other Ambulatory Health Care Services,1,0.6135603,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.6109243881631691,0.7357723577235772,Other ambulatory healthcare services,repo_current,felten_image_generation_aiie,4.1040397,-0.4131917125622869,0.4131917125622869
8122,812200,1,57700,27,5.4627,repo_current,naics4,industry_exposure_4digit.csv,0.05609743427219322,0.5483870967741935,812200,Death Care Services,1,-0.9344434,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.9296449459975237,0.15447154471544716,Death care services,repo_current,felten_image_generation_aiie,6.3971434,0.39391555205874634,0.39391555205874634
4869,486900,1,2700,15,4.8519,repo_current,naics4,industry_exposure_4digit.csv,-0.4003968384386121,0.3709677419354839,486900,Other Pipeline Transportation,1,0.7215898,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.7184350710411961,0.7601626016260162,Other pipeline transportation,repo_current,felten_image_generation_aiie,4.130310199999999,-0.38919485969053236,0.38919485969053236
5619,561900,1,122700,90,5.6822,repo_current,naics4,industry_exposure_4digit.csv,0.22014539245821443,0.6505376344086021,561900,Other Support Services,1,-0.6175775,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.6143008104626869,0.2886178861788618,Other support services,repo_current,felten_image_generation_aiie,6.2997775,0.3619197482297403,0.3619197482297403
4854,485400,1,158600,23,4.1526,repo_current,naics4,industry_exposure_4digit.csv,-0.9230334541993621,0.1935483870967742,485400,School and Employee Bus Transportation,1,0.0095714,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.00983617531622998,0.5528455284552846,School and employee bus transportation,repo_current,felten_image_generation_aiie,4.1430286,-0.3592971413585104,0.3592971413585104
