comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
5616,561600,1,Investigation and security services,821400,62,4.3302,repo_current,naics4,industry_exposure_4digit.csv,-0.7903003454347272,0.22580645161290322,561600,1,Investigation and security services,821400,62,5.2337,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.09036971405145827,0.4731182795698925,Investigation and security services,repo_current,repo_original,-0.9035000000000002,-0.24731182795698928,0.24731182795698928
8123,812300,1,Drycleaning and laundry services,60100,33,5.7471,repo_current,naics4,industry_exposure_4digit.csv,0.268649777361507,0.6666666666666666,812300,1,Drycleaning and laundry services,60100,33,4.9684,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.27634012285421583,0.42473118279569894,Drycleaning and laundry services,repo_current,repo_original,0.7786999999999997,0.2419354838709677,0.2419354838709677
8122,812200,1,Death care services,57700,27,5.4627,repo_current,naics4,industry_exposure_4digit.csv,0.05609743427219322,0.5483870967741935,812200,1,Death care services,57700,27,4.8059,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.39024962692676785,0.3548387096774194,Death care services,repo_current,repo_original,0.6567999999999996,0.19354838709677413,0.19354838709677413
8114,811400,1,Personal and household goods repair and maintenance,35200,43,4.9773,repo_current,naics4,industry_exposure_4digit.csv,-0.306676501506826,0.41935483870967744,811400,1,Personal and household goods repair and maintenance,35200,43,4.4574,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6345417018146726,0.25806451612903225,Personal and household goods repair and maintenance,repo_current,repo_original,0.5198999999999998,0.16129032258064518,0.16129032258064518
6214,621400,1,Outpatient care centers,929500,138,5.6103,repo_current,naics4,industry_exposure_4digit.csv,0.1664094097995585,0.6075268817204301,621400,1,Outpatient care centers,929500,138,5.1445,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.1528972695177454,0.45161290322580644,Outpatient care centers,repo_current,repo_original,0.46579999999999977,0.15591397849462368,0.15591397849462368
4572,457200,1,Fuel dealers,48700,32,5.6715,repo_current,naics4,industry_exposure_4digit.csv,0.21214852160358838,0.6397849462365591,457200,1,Fuel dealers,48700,32,5.2526,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.07712116250086579,0.4838709677419355,Fuel dealers,repo_current,repo_original,0.41889999999999983,0.15591397849462363,0.15591397849462363
4592,459200,1,Book retailers and news dealers,12500,20,5.232,repo_current,naics4,industry_exposure_4digit.csv,-0.1163210803224083,0.4838709677419355,459200,1,Book retailers and news dealers,12500,20,5.64,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.1944390952080985,0.6344086021505376,Book retailers and news dealers,repo_current,repo_original,-0.4079999999999995,-0.15053763440860213,0.15053763440860213
4922,492200,1,Local messengers and local delivery,24000,32,6.0333,repo_current,naics4,industry_exposure_4digit.csv,0.48254738844505723,0.7311827956989247,492200,1,Local messengers and local delivery,24000,32,5.5375,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12258848494695011,0.5967741935483871,Local messengers and local delivery,repo_current,repo_original,0.4958,0.13440860215053763,0.13440860215053763
4871,487100,1,"Scenic and sightseeing transportation, land",5400,20,4.5185,repo_current,naics4,industry_exposure_4digit.csv,-0.6495703658154656,0.26881720430107525,487100,1,"Scenic and sightseeing transportation, land",5400,20,4.9074,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.3190999982291431,0.3978494623655914,"Scenic and sightseeing transportation, land",repo_current,repo_original,-0.3888999999999996,-0.12903225806451613,0.12903225806451613
4412,441200,1,Other motor vehicle dealers,79400,46,4.9811,repo_current,naics4,industry_exposure_4digit.csv,-0.30383649129677187,0.42473118279569894,441200,1,Other motor vehicle dealers,79400,46,4.6033,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.5322684916966086,0.3064516129032258,Other motor vehicle dealers,repo_current,repo_original,0.3777999999999997,0.11827956989247312,0.11827956989247312
