comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
4812,481200,1,Nonscheduled air transportation,36000,35,3.9392,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7991981151105617,0.22580645161290322,481200,1,Nonscheduled air transportation,36000,35,5.5722,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.146912545201212,0.6129032258064516,Nonscheduled air transportation,repo_gabriel,repo_original,-1.6329999999999996,-0.3870967741935484,0.3870967741935484
4879,487900,1,"Scenic and sightseeing transportation, other",1200,6,4.2167,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6094689536806566,0.2903225806451613,487900,1,"Scenic and sightseeing transportation, other",1200,6,5.75,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.27154706719567256,0.6451612903225806,"Scenic and sightseeing transportation, other",repo_gabriel,repo_original,-1.5332999999999997,-0.3548387096774193,0.3548387096774193
5616,561600,1,Investigation and security services,821400,62,3.7776,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.909685439388301,0.1827956989247312,561600,1,Investigation and security services,821400,62,5.2337,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.09036971405145827,0.4731182795698925,Investigation and security services,repo_gabriel,repo_original,-1.4560999999999997,-0.2903225806451613,0.2903225806451613
4811,481100,1,Scheduled air transportation,261400,52,2.878,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.524749776766112,0.053763440860215055,481100,1,Scheduled air transportation,261400,52,4.4805,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6183490276972818,0.26881720430107525,Scheduled air transportation,repo_gabriel,repo_original,-1.6025,-0.2150537634408602,0.2150537634408602
4859,485900,1,Other transit and ground passenger transportation,81100,31,4.2592,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.5804113343625633,0.2956989247311828,485900,1,Other transit and ground passenger transportation,81100,31,5.2713,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.06401280726297828,0.5,Other transit and ground passenger transportation,repo_gabriel,repo_original,-1.0121000000000002,-0.2043010752688172,0.2043010752688172
4884,488400,1,Support activities for road transportation,75600,37,4.3849,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.49446915204999,0.3333333333333333,488400,1,Support activities for road transportation,75600,37,5.2937,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.048310820240054016,0.510752688172043,Support activities for road transportation,repo_gabriel,repo_original,-0.9088000000000003,-0.1774193548387097,0.1774193548387097
4921,492100,1,Couriers and express delivery services,173600,49,4.5586,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.37570895262521686,0.3924731182795699,492100,1,Couriers and express delivery services,173600,49,5.4026,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.028026072027643623,0.543010752688172,Couriers and express delivery services,repo_gabriel,repo_original,-0.8439999999999994,-0.15053763440860213,0.15053763440860213
2362,236200,1,Nonresidential building construction,668800,97,4.5234,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3997754985074971,0.3709677419354839,236200,1,Nonresidential building construction,668800,97,4.1882,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8232459387151713,0.22580645161290322,Nonresidential building construction,repo_gabriel,repo_original,0.3351999999999995,0.14516129032258066,0.14516129032258066
4854,485400,1,School and employee bus transportation,158600,23,2.9455,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.478599440202081,0.05913978494623656,485400,1,School and employee bus transportation,158600,23,4.1362,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8596969800183883,0.20430107526881722,School and employee bus transportation,repo_gabriel,repo_original,-1.1906999999999996,-0.14516129032258066,0.14516129032258066
4412,441200,1,Other motor vehicle dealers,79400,46,4.7139,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.26952899309345413,0.44623655913978494,441200,1,Other motor vehicle dealers,79400,46,4.6033,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.5322684916966086,0.3064516129032258,Other motor vehicle dealers,repo_gabriel,repo_original,0.11059999999999981,0.13978494623655913,0.13978494623655913
