comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
6241,624100,1,3056100,129,2.9689,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6779527591192511,0.03225806451612903,6241,Individual and Family Services,1,1.163092,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,1.1560318349194583,0.8414634146341463,Individual and family services,repo_original,felten_base_aiie,1.805808,-0.8092053501180173,0.8092053501180173
6216,621600,1,1670600,85,2.952,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6897993475427968,0.026881720430107527,6216,Home Health Care Services,1,0.6927072,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.6874879036919592,0.7642276422764228,Home healthcare services,repo_original,felten_base_aiie,2.2592928,-0.7373459218463153,0.7373459218463153
6232,623200,1,598800,90,3.4208,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.3611791905630275,0.10752688172043011,6232,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",1,0.8572415,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.8513782924625246,0.7886178861788617,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",repo_original,felten_base_aiie,2.5635585,-0.6810910044584316,0.6810910044584316
4889,488900,1,14400,33,6.4931,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.7924464670499101,0.7741935483870968,4889,Other Support Activities for Transportation,1,-1.105623,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1038044627984847,0.11788617886178862,Other support activities for transportation,repo_original,felten_base_aiie,7.598723,0.6563073695253081,0.6563073695253081
6239,623900,1,137900,72,3.7861,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1051106254079301,0.15591397849462366,6239,Other Residential Care Facilities,1,0.7190148,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.7136925479006168,0.7723577235772358,Other residential care facilities,repo_original,felten_base_aiie,3.0670851999999997,-0.6164437450826121,0.6164437450826121
4922,492200,1,24000,32,5.5375,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12258848494695011,0.5967741935483871,4922,Local Messengers and Local Delivery,1,-1.182829,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1807083141864338,0.07723577235772358,Local messengers and local delivery,repo_original,felten_base_aiie,6.7203289999999996,0.5195384211906635,0.5195384211906635
6244,624400,1,1026000,69,3.2853,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.456162192420448,0.06989247311827956,6244,Child Day Care Services,1,0.0572718,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.05453930425354587,0.573170731707317,Child daycare services,repo_original,felten_base_aiie,3.2280282,-0.5032782585890374,0.5032782585890374
6219,621900,1,297500,106,4.5002,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6045396908958707,0.2849462365591398,6219,Other Ambulatory Health Care Services,1,0.7869348,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.7813467404021002,0.7804878048780488,Other ambulatory healthcare services,repo_original,felten_base_aiie,3.7132652000000004,-0.495541568318909,0.495541568318909
5621,562100,1,95300,49,5.3211,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.02910392539951283,0.532258064516129,5621,Waste Collection,1,-1.332496,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.3297895866999718,0.052845528455284556,Waste collection,repo_original,felten_base_aiie,6.653596,0.47941253606084444,0.47941253606084444
3262,326200,1,40000,59,5.545,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12784584667337578,0.6075268817204301,3262,Rubber Product Manufacturing,1,-1.077709,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0759997052972126,0.14227642276422764,Rubber product manufacturing,repo_original,felten_base_aiie,6.622709,0.4652504589562025,0.4652504589562025
