comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
4889,488900,1,14400,33,6.4931,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.7924464670499101,0.7741935483870968,488900,Other Support Activities for Transportation,1,-1.389063,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-1.3820812124408148,0.06910569105691057,Other support activities for transportation,repo_original,felten_image_generation_aiie,7.882163,0.7050878573301862,0.7050878573301862
6241,624100,1,3056100,129,2.9689,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6779527591192511,0.03225806451612903,624100,Individual and Family Services,1,0.6038074,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.6012183269572845,0.7317073170731707,Individual and family services,repo_original,felten_image_generation_aiie,2.3650926,-0.6994492525570417,0.6994492525570417
4453,445300,1,89900,24,6.7775,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.9918056237159645,0.8118279569892473,445300,"Beer, Wine, and Liquor Stores",1,-1.003907,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.9987749435552846,0.12601626016260162,"Beer, wine, and liquor retailers",repo_original,felten_image_generation_aiie,7.781407,0.6858116968266457,0.6858116968266457
6216,621600,1,1670600,85,2.952,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6897993475427968,0.026881720430107527,621600,Home Health Care Services,1,0.1316011,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.13127982152768872,0.5975609756097561,Home healthcare services,repo_original,felten_image_generation_aiie,2.8203989,-0.5706792551796486,0.5706792551796486
4441,444100,1,332500,66,6.8057,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,1.0115733038073242,0.8225806451612904,444100,Building Material and Supplies Dealers,1,-0.7177699,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.7140120314087104,0.25203252032520324,Building material and supplies dealers,repo_original,felten_image_generation_aiie,7.5234699,0.5705481248360871,0.5705481248360871
4832,483200,1,22600,22,3.5221,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.290169758178107,0.12365591397849462,483200,Inland Water Transportation,1,0.3678075,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.3663518283791544,0.6707317073170732,Inland water transportation,repo_original,felten_image_generation_aiie,3.1542925,-0.5470757933385786,0.5470757933385786
6232,623200,1,598800,90,3.4208,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.3611791905630275,0.10752688172043011,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",1,0.2505063,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.2496139733079745,0.6382113821138211,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",repo_original,felten_image_generation_aiie,3.1702936999999998,-0.530684500393391,0.530684500393391
6239,623900,1,137900,72,3.7861,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1051106254079301,0.15591397849462366,623900,Other Residential Care Facilities,1,0.1491291,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.14872364242370376,0.6097560975609756,Other residential care facilities,repo_original,felten_image_generation_aiie,3.6369708999999997,-0.45384211906635197,0.45384211906635197
4245,424500,1,32300,47,6.0402,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.4749719169301625,0.7204301075268817,424500,Farm Product Raw Material Merchant Wholesalers,1,-0.6547234,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,-0.6512683154045676,0.2682926829268293,Farm product raw material merchant wholesalers,repo_original,felten_image_generation_aiie,6.6949233999999995,0.45213742460005246,0.45213742460005246
6219,621900,1,297500,106,4.5002,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6045396908958707,0.2849462365591398,621900,Other Ambulatory Health Care Services,1,0.6135603,felten_image_generation_aiie,naics4,Image_Generation_AIOE_and_AIIE.xlsx,IG AIIE,0.6109243881631691,0.7357723577235772,Other ambulatory healthcare services,repo_original,felten_image_generation_aiie,3.8866397000000004,-0.4508261211644374,0.4508261211644374
