comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
6241,624100,1,3056100,129,2.9689,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6779527591192511,0.03225806451612903,624100,Individual and Family Services,1,1.303176,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,1.2952844435123447,0.8699186991869918,Individual and family services,repo_original,felten_language_modeling_aiie,1.6657240000000002,-0.8376606346708628,0.8376606346708628
6216,621600,1,1670600,85,2.952,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6897993475427968,0.026881720430107527,621600,Home Health Care Services,1,0.8117862,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.8056177023964151,0.7682926829268293,Home healthcare services,repo_original,felten_language_modeling_aiie,2.1402137999999997,-0.7414109624967218,0.7414109624967218
6232,623200,1,598800,90,3.4208,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.3611791905630275,0.10752688172043011,623200,"Residential Intellectual and Developmental Disability, Mental Health, and Substance Abuse Facilities",1,1.030857,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,1.0239203303908497,0.8252032520325203,"Residential intellectual and developmental disability, mental health, and substance abuse facilities",repo_original,felten_language_modeling_aiie,2.3899429999999997,-0.7176763703120902,0.7176763703120902
6239,623900,1,137900,72,3.7861,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1051106254079301,0.15591397849462366,623900,Other Residential Care Facilities,1,0.9229316,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.9163733709268291,0.7886178861788617,Other residential care facilities,repo_original,felten_language_modeling_aiie,2.8631683999999997,-0.6327039076842381,0.6327039076842381
6244,624400,1,1026000,69,3.2853,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.456162192420448,0.06989247311827956,624400,Child Day Care Services,1,0.4045842,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.3998435566654926,0.6504065040650406,Child daycare services,repo_original,felten_language_modeling_aiie,2.8807158,-0.5805140309467611,0.5805140309467611
4889,488900,1,14400,33,6.4931,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.7924464670499101,0.7741935483870968,488900,Other Support Activities for Transportation,1,-0.9422619,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.9422798259763525,0.1951219512195122,Other support activities for transportation,repo_original,felten_language_modeling_aiie,7.4353619,0.5790715971675846,0.5790715971675846
4922,492200,1,24000,32,5.5375,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12258848494695011,0.5967741935483871,492200,Local Messengers and Local Delivery,1,-1.270109,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.2689773297530047,0.07317073170731707,Local messengers and local delivery,repo_original,felten_language_modeling_aiie,6.807608999999999,0.5236034618410701,0.5236034618410701
6231,623100,1,1256300,92,3.246,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.4837107678669175,0.06451612903225806,623100,Nursing Care Facilities (Skilled Nursing Facilities),1,0.0127003,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.00933379799976338,0.5528455284552846,Nursing care facilities (skilled nursing facilities),repo_original,felten_language_modeling_aiie,3.2332997,-0.4883293994230265,0.4883293994230265
5621,562100,1,95300,49,5.3211,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.02910392539951283,0.532258064516129,562100,Waste Collection,1,-1.430758,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.4290630138545735,0.052845528455284556,Waste collection,repo_original,felten_language_modeling_aiie,6.751858,0.47941253606084444,0.47941253606084444
6219,621900,1,297500,106,4.5002,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6045396908958707,0.2849462365591398,621900,Other Ambulatory Health Care Services,1,0.7634743,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.7574752081278758,0.7601626016260162,Other ambulatory healthcare services,repo_original,felten_language_modeling_aiie,3.7367257000000005,-0.4752163650668764,0.4752163650668764
4921,492100,1,173600,49,5.4026,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.028026072027643623,0.543010752688172,492100,Couriers and Express Delivery Services,1,-1.299443,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.2982084700491496,0.06910569105691057,Couriers and express delivery services,repo_original,felten_language_modeling_aiie,6.702043,0.47390506163126145,0.47390506163126145
3262,326200,1,40000,59,5.545,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.12784584667337578,0.6075268817204301,326200,Rubber Product Manufacturing,1,-1.120887,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.1202785768631374,0.13821138211382114,Rubber product manufacturing,repo_original,felten_language_modeling_aiie,6.665887,0.469315499606609,0.469315499606609
3379,337900,1,5600,23,6.625,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.8849059352786464,0.7903225806451613,337900,Other Furniture Related Product Manufacturing,1,-0.6635574,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.6645526036177593,0.32926829268292684,Other furniture related product manufacturing,repo_original,felten_language_modeling_aiie,7.2885574,0.4610542879622344,0.4610542879622344
6243,624300,1,201100,90,4.3287,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.7247580290401335,0.24731182795698925,624300,Vocational Rehabilitation Services,1,0.522513,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.5173588391962091,0.7032520325203252,Vocational rehabilitation services,repo_original,felten_language_modeling_aiie,3.8061870000000004,-0.45594020456333595,0.45594020456333595
6212,621200,1,978300,33,4.198,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8163763193926418,0.23118279569892472,621200,Offices of Dentists,1,0.4777574,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.4727601747577366,0.6788617886178862,Offices of dentists,repo_original,felten_language_modeling_aiie,3.7202426000000006,-0.4476789929189614,0.4476789929189614
3222,322200,1,75100,61,5.7976,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.30491378961938637,0.6612903225806451,322200,Converted Paper Product Manufacturing,1,-0.885119,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.8853372976192041,0.22357723577235772,Converted paper product manufacturing,repo_original,felten_language_modeling_aiie,6.6827190000000005,0.4377130868082874,0.4377130868082874
6233,623300,1,772700,84,3.0537,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.618509522532467,0.043010752688172046,623300,Continuing Care Retirement Communities and Assisted Living Facilities for the Elderly,1,-0.196189,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.19882303143582483,0.4715447154471545,Continuing care retirement communities and assisted living facilities for the elderly,repo_original,felten_language_modeling_aiie,3.249889,-0.4285339627589824,0.4285339627589824
8121,812100,1,648200,33,2.8945,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.7301057874453922,0.021505376344086023,812100,Personal Care Services,1,-0.3100892,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.3123238402569535,0.43089430894308944,Personal care services,repo_original,felten_language_modeling_aiie,3.2045892,-0.40938893259900344,0.40938893259900344
4884,488400,1,75600,37,5.2937,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.048310820240054016,0.510752688172043,488400,Support Activities for Road Transportation,1,-1.170591,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.1698082897314677,0.10569105691056911,Support activities for road transportation,repo_original,felten_language_modeling_aiie,6.464291,0.4050616312614739,0.4050616312614739
4245,424500,1,32300,47,6.0402,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.4749719169301625,0.7204301075268817,424500,Farm Product Raw Material Merchant Wholesalers,1,-0.6865089,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.687423624157303,0.3252032520325203,Farm product raw material merchant wholesalers,repo_original,felten_language_modeling_aiie,6.726708899999999,0.39522685549436143,0.39522685549436143
3111,311100,1,28500,50,5.614,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.17621357455649025,0.6290322580645161,311100,Animal Food Manufacturing,1,-0.8605075,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.8608120978715197,0.23577235772357724,Animal food manufacturing,repo_original,felten_language_modeling_aiie,6.4745075,0.3932599003409389,0.3932599003409389
