comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title
1133,113300,1,33400,11,3.4521,repo_current,naics4,industry_exposure_4digit.csv,-1.4465669152896024,0.053763440860215055,1133,Logging,1,-1.360161,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.357346318672197,0.044715447154471545,Logging
2121,212100,1,18400,32,3.8098,repo_current,naics4,industry_exposure_4digit.csv,-1.1792322699905602,0.12365591397849462,2121,Coal Mining,1,-1.146242,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1442644987999238,0.1016260162601626,Coal mining
2122,212200,1,24100,58,4.1867,repo_current,naics4,industry_exposure_4digit.csv,-0.8975480994196655,0.20430107526881722,2122,Metal Ore Mining,1,-0.8924032,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8914191065804669,0.21138211382113822,Metal ore mining
2123,212300,1,47700,45,4.5493,repo_current,naics4,industry_exposure_4digit.csv,-0.6265513356918696,0.27956989247311825,2123,Nonmetallic Mineral Mining and Quarrying,1,-1.037903,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0363494875894086,0.15853658536585366,Nonmetallic mineral mining and quarrying
2211,221100,1,295300,120,5.2807,repo_current,naics4,industry_exposure_4digit.csv,-0.07992410736724082,0.4946236559139785,2211,"Electric Power Generation, Transmission and Distribution",1,0.2096187,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.20628998887669406,0.6219512195121951,"Electric power generation, transmission and distribution"
2212,221200,1,61300,83,5.9739,repo_current,naics4,industry_exposure_4digit.csv,0.43815354463526435,0.7043010752688172,2212,Natural Gas Distribution,1,0.3453538,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.34149388440979306,0.6707317073170732,Natural gas distribution
2213,221300,1,42700,48,5.0047,repo_current,naics4,industry_exposure_4digit.csv,-0.2861985331501199,0.43010752688172044,2213,"Water, Sewage and Other Systems",1,-0.1564226,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.1583187945993542,0.4878048780487805,"Water, sewage and other systems"
2361,236100,1,712900,86,4.1163,repo_current,naics4,industry_exposure_4digit.csv,-0.9501630254164579,0.1774193548387097,2361,Residential Building Construction,1,-0.7602519,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7597849857100124,0.2845528455284553,Residential building construction
2362,236200,1,668800,97,4.4136,repo_current,naics4,industry_exposure_4digit.csv,-0.7279695950351182,0.24193548387096775,2362,Nonresidential Building Construction,1,-0.6632232,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6631360112110626,0.32926829268292684,Nonresidential building construction
2371,237100,1,419800,89,3.5441,repo_current,naics4,industry_exposure_4digit.csv,-1.3778087733619764,0.07526881720430108,2371,Utility System Construction,1,-1.176381,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1742855486792259,0.08130081300813008,Utility system construction
2372,237200,1,27800,47,5.7158,repo_current,naics4,industry_exposure_4digit.csv,0.24525706168395606,0.6612903225806451,2372,Land Subdivision,1,0.5814018,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.5766181016004605,0.7235772357723578,Land subdivision
2373,237300,1,280500,65,3.6403,repo_current,naics4,industry_exposure_4digit.csv,-1.3059116727811326,0.0967741935483871,2373,"Highway, Street, and Bridge Construction",1,-1.296256,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.2936914133157884,0.06097560975609756,"Highway, street, and bridge construction"
2379,237900,1,101500,64,3.6916,repo_current,naics4,industry_exposure_4digit.csv,-1.2675715349454015,0.11290322580645161,2379,Other Heavy and Civil Engineering Construction,1,-1.104619,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1028043919906005,0.12195121951219512,Other heavy and civil engineering construction
2381,238100,1,642800,78,3.2186,repo_current,naics4,industry_exposure_4digit.csv,-1.6210780689863495,0.04838709677419355,2381,"Foundation, Structure, and Building Exterior Contractors",1,-1.757023,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.7526551841687175,0.012195121951219513,"Foundation, structure, and building exterior contractors"
2382,238200,1,1885000,105,3.8725,repo_current,naics4,industry_exposure_4digit.csv,-1.1323721015246673,0.13978494623655913,2382,Building Equipment Contractors,1,-0.8320791,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8313310872359626,0.23577235772357724,Building equipment contractors
2383,238300,1,640700,69,3.2068,repo_current,naics4,industry_exposure_4digit.csv,-1.6298970480596755,0.043010752688172046,2383,Building Finishing Contractors,1,-1.602616,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.598852461825129,0.02032520325203252,Building finishing contractors
2389,238900,1,566700,80,3.7552,repo_current,naics4,industry_exposure_4digit.csv,-1.2200387324823907,0.11827956989247312,2389,Other Specialty Trade Contractors,1,-1.358564,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.3557555685923257,0.04878048780487805,Other specialty trade contractors
3111,311100,1,28500,50,5.6246,repo_current,naics4,industry_exposure_4digit.csv,0.17709681664265725,0.6182795698924731,3111,Animal Food Manufacturing,1,-0.78914,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7885600310339538,0.2601626016260163,Animal food manufacturing
3112,311200,1,25000,58,5.168,repo_current,naics4,industry_exposure_4digit.csv,-0.1641528312285831,0.46774193548387094,3112,Grain and Oilseed Milling,1,-0.7206286,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7203167529988224,0.3008130081300813,Grain and oilseed milling
3113,311300,1,22100,54,5.2851,repo_current,naics4,industry_exposure_4digit.csv,-0.07663567449244167,0.5053763440860215,3113,Sugar and Confectionery Product Manufacturing,1,-0.7729946,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7724778166697982,0.2764227642276423,Sugar and confectionery product manufacturing
3114,311400,1,54300,60,4.6538,repo_current,naics4,industry_exposure_4digit.csv,-0.5484510549153806,0.3010752688172043,3114,Fruit and Vegetable Preserving and Specialty Food Manufacturing,1,-0.980808,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.9794779310394647,0.18699186991869918,Fruit and vegetable preserving and specialty food manufacturing
3115,311500,1,52600,60,4.9106,repo_current,naics4,industry_exposure_4digit.csv,-0.35652615440435503,0.4032258064516129,3115,Dairy Product Manufacturing,1,-0.8435335,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8427406600067076,0.23170731707317074,Dairy product manufacturing
3116,311600,1,136100,72,4.1315,repo_current,naics4,industry_exposure_4digit.csv,-0.9388029845762413,0.1881720430107527,3116,Animal Slaughtering and Processing,1,-1.662866,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.6588666711627964,0.016260162601626018,Animal slaughtering and processing
3117,311700,1,7800,35,4.9359,repo_current,naics4,industry_exposure_4digit.csv,-0.3376176653742574,0.41397849462365593,3117,Seafood Product Preparation and Packaging,1,-1.258223,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.2558072569051741,0.07317073170731707,Seafood product preparation and packaging
3118,311800,1,186800,61,3.5273,repo_current,naics4,industry_exposure_4digit.csv,-1.3903646079748473,0.06989247311827956,3118,Bakeries and Tortilla Manufacturing,1,-0.8015609,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8009323213702565,0.24796747967479674,Bakeries and tortilla manufacturing
3119,311900,1,92500,72,4.7859,repo_current,naics4,industry_exposure_4digit.csv,-0.44972333156060473,0.3333333333333333,3119,Other Food Manufacturing,1,-0.8538909,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.853057525928599,0.22764227642276422,Other food manufacturing
3121,312100,1,157000,76,4.1229,repo_current,naics4,industry_exposure_4digit.csv,-0.9452303761042589,0.1827956989247312,3121,Beverage Manufacturing,1,-0.6586424,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6585731383457681,0.33739837398373984,Beverage manufacturing
3122,312200,1,4500,24,5.0889,repo_current,naics4,industry_exposure_4digit.csv,-0.22326988586418373,0.44623655913978494,3122,Tobacco Manufacturing,1,-0.8843057,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8833532964541306,0.21544715447154472,Tobacco manufacturing
3211,321100,1,26200,40,4.5153,repo_current,naics4,industry_exposure_4digit.csv,-0.6519619533607748,0.26344086021505375,3211,Sawmills and Wood Preservation,1,-1.421037,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.4179840781350992,0.036585365853658534,Sawmills and wood preservation
