comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title
1133,113300,1,33400,11,3.4521,repo_current,naics4,industry_exposure_4digit.csv,-1.4465669152896024,0.053763440860215055,113300,Logging,1,-1.73983,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.7370512525404043,0.008130081300813009,Logging
2121,212100,1,18400,32,3.8098,repo_current,naics4,industry_exposure_4digit.csv,-1.1792322699905602,0.12365591397849462,212100,Coal Mining,1,-1.38403,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.3824988656389101,0.06097560975609756,Coal mining
2122,212200,1,24100,58,4.1867,repo_current,naics4,industry_exposure_4digit.csv,-0.8975480994196655,0.20430107526881722,212200,Metal Ore Mining,1,-1.112581,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.1120017018614405,0.15040650406504066,Metal ore mining
2123,212300,1,47700,45,4.5493,repo_current,naics4,industry_exposure_4digit.csv,-0.6265513356918696,0.27956989247311825,212300,Nonmetallic Mineral Mining and Quarrying,1,-1.219409,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.2184551093597902,0.08130081300813008,Nonmetallic mineral mining and quarrying
2211,221100,1,295300,120,5.2807,repo_current,naics4,industry_exposure_4digit.csv,-0.07992410736724082,0.4946236559139785,221100,"Electric Power Generation, Transmission and Distribution",1,0.0499917,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.04649443566389598,0.573170731707317,"Electric power generation, transmission and distribution"
2212,221200,1,61300,83,5.9739,repo_current,naics4,industry_exposure_4digit.csv,0.43815354463526435,0.7043010752688172,221200,Natural Gas Distribution,1,0.2033846,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.19934946328824169,0.6056910569105691,Natural gas distribution
2213,221300,1,42700,48,5.0047,repo_current,naics4,industry_exposure_4digit.csv,-0.2861985331501199,0.43010752688172044,221300,"Water, Sewage and Other Systems",1,-0.2695695,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.27194622263038665,0.44308943089430897,"Water, sewage and other systems"
2361,236100,1,712900,86,4.1163,repo_current,naics4,industry_exposure_4digit.csv,-0.9501630254164579,0.1774193548387097,236100,Residential Building Construction,1,-0.7263659,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.7271408655421621,0.3130081300813008,Residential building construction
2362,236200,1,668800,97,4.4136,repo_current,naics4,industry_exposure_4digit.csv,-0.7279695950351182,0.24193548387096775,236200,Nonresidential Building Construction,1,-0.7161099,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.716920828217649,0.3170731707317073,Nonresidential building construction
2371,237100,1,419800,89,3.5441,repo_current,naics4,industry_exposure_4digit.csv,-1.3778087733619764,0.07526881720430108,237100,Utility System Construction,1,-1.218836,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.2178841185849318,0.08536585365853659,Utility system construction
2372,237200,1,27800,47,5.7158,repo_current,naics4,industry_exposure_4digit.csv,0.24525706168395606,0.6612903225806451,237200,Land Subdivision,1,0.4659384,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.46098261809447416,0.6747967479674797,Land subdivision
2373,237300,1,280500,65,3.6403,repo_current,naics4,industry_exposure_4digit.csv,-1.3059116727811326,0.0967741935483871,237300,"Highway, Street, and Bridge Construction",1,-1.362089,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.3606348017799847,0.06504065040650407,"Highway, street, and bridge construction"
2379,237900,1,101500,64,3.6916,repo_current,naics4,industry_exposure_4digit.csv,-1.2675715349454015,0.11290322580645161,237900,Other Heavy and Civil Engineering Construction,1,-1.16696,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.1661900218370345,0.11382113821138211,Other heavy and civil engineering construction
2381,238100,1,642800,78,3.2186,repo_current,naics4,industry_exposure_4digit.csv,-1.6210780689863495,0.04838709677419355,238100,"Foundation, Structure, and Building Exterior Contractors",1,-1.621387,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.6190235730525635,0.012195121951219513,"Foundation, structure, and building exterior contractors"
