comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title
1133,113300,1,Logging,33400,11,3.4521,repo_current,naics4,industry_exposure_4digit.csv,-1.4465669152896024,0.053763440860215055,113300,1,Logging,33400,11,3.4162,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.3644037057552352,0.10215053763440861,Logging
2121,212100,1,Coal mining,18400,32,3.8098,repo_current,naics4,industry_exposure_4digit.csv,-1.1792322699905602,0.12365591397849462,212100,1,Coal mining,18400,32,3.6685,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1875460572782817,0.13978494623655913,Coal mining
2122,212200,1,Metal ore mining,24100,58,4.1867,repo_current,naics4,industry_exposure_4digit.csv,-0.8975480994196655,0.20430107526881722,212200,1,Metal ore mining,24100,58,4.1701,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8359337050149451,0.22043010752688172,Metal ore mining
2123,212300,1,Nonmetallic mineral mining and quarrying,47700,45,4.5493,repo_current,naics4,industry_exposure_4digit.csv,-0.6265513356918696,0.27956989247311825,212300,1,Nonmetallic mineral mining and quarrying,47700,45,4.4885,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6127411751890947,0.27419354838709675,Nonmetallic mineral mining and quarrying
2211,221100,1,"Electric power generation, transmission and distribution",295300,120,5.2807,repo_current,naics4,industry_exposure_4digit.csv,-0.07992410736724082,0.4946236559139785,221100,1,"Electric power generation, transmission and distribution",295300,120,5.4067,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.03090009643808971,0.5483870967741935,"Electric power generation, transmission and distribution"
2212,221200,1,Natural gas distribution,61300,83,5.9739,repo_current,naics4,industry_exposure_4digit.csv,0.43815354463526435,0.7043010752688172,221200,1,Natural gas distribution,61300,83,5.9788,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.43193164892982594,0.7043010752688172,Natural gas distribution
2213,221300,1,"Water, sewage and other systems",42700,48,5.0047,repo_current,naics4,industry_exposure_4digit.csv,-0.2861985331501199,0.43010752688172044,221300,1,"Water, sewage and other systems",42700,48,5.2131,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10480993426004025,0.45698924731182794,"Water, sewage and other systems"
2361,236100,1,Residential building construction,712900,86,4.1163,repo_current,naics4,industry_exposure_4digit.csv,-0.9501630254164579,0.1774193548387097,236100,1,Residential building construction,712900,86,3.8531,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.0581448606518622,0.16129032258064516,Residential building construction
2362,236200,1,Nonresidential building construction,668800,97,4.4136,repo_current,naics4,industry_exposure_4digit.csv,-0.7279695950351182,0.24193548387096775,236200,1,Nonresidential building construction,668800,97,4.1882,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8232459387151713,0.22580645161290322,Nonresidential building construction
2371,237100,1,Utility system construction,419800,89,3.5441,repo_current,naics4,industry_exposure_4digit.csv,-1.3778087733619764,0.07526881720430108,237100,1,Utility system construction,419800,89,3.1963,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.5185495515740304,0.053763440860215055,Utility system construction
2372,237200,1,Land subdivision,27800,47,5.7158,repo_current,naics4,industry_exposure_4digit.csv,0.24525706168395606,0.6612903225806451,237200,1,Land subdivision,27800,47,5.6079,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.17193758701899753,0.6236559139784946,Land subdivision
2373,237300,1,"Highway, street, and bridge construction",280500,65,3.6403,repo_current,naics4,industry_exposure_4digit.csv,-1.3059116727811326,0.0967741935483871,237300,1,"Highway, street, and bridge construction",280500,65,3.313,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.4367450031108497,0.07526881720430108,"Highway, street, and bridge construction"
2379,237900,1,Other heavy and civil engineering construction,101500,64,3.6916,repo_current,naics4,industry_exposure_4digit.csv,-1.2675715349454015,0.11290322580645161,237900,1,Other heavy and civil engineering construction,101500,64,3.3596,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.4040792622506595,0.08064516129032258,Other heavy and civil engineering construction
