comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title
1133,113300,1,33400,11,3.332,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.214346031579889,0.11290322580645161,1133,Logging,1,-1.360161,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.357346318672197,0.044715447154471545,Logging
2121,212100,1,18400,32,3.3033,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.233968470978225,0.10215053763440861,2121,Coal Mining,1,-1.146242,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1442644987999238,0.1016260162601626,Coal mining
2122,212200,1,24100,58,3.873,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.8444596303778038,0.21505376344086022,2122,Metal Ore Mining,1,-0.8924032,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.8914191065804669,0.21138211382113822,Metal ore mining
2123,212300,1,47700,45,3.9763,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7738325227175906,0.24193548387096775,2123,Nonmetallic Mineral Mining and Quarrying,1,-1.037903,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.0363494875894086,0.15853658536585366,Nonmetallic mineral mining and quarrying
2211,221100,1,295300,120,5.3127,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.13987577038123866,0.5967741935483871,2211,"Electric Power Generation, Transmission and Distribution",1,0.2096187,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.20628998887669406,0.6219512195121951,"Electric power generation, transmission and distribution"
2212,221200,1,61300,83,5.9641,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.5852436109413831,0.7311827956989247,2212,Natural Gas Distribution,1,0.3453538,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.34149388440979306,0.6707317073170732,Natural gas distribution
2213,221300,1,42700,48,4.5133,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4066809562748555,0.3548387096774194,2213,"Water, Sewage and Other Systems",1,-0.1564226,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.1583187945993542,0.4878048780487805,"Water, sewage and other systems"
2361,236100,1,712900,86,4.1478,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6565764824104601,0.27419354838709675,2361,Residential Building Construction,1,-0.7602519,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.7597849857100124,0.2845528455284553,Residential building construction
2362,236200,1,668800,97,4.5234,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3997754985074971,0.3709677419354839,2362,Nonresidential Building Construction,1,-0.6632232,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-0.6631360112110626,0.32926829268292684,Nonresidential building construction
2371,237100,1,419800,89,3.3109,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.22877228493546,0.10752688172043011,2371,Utility System Construction,1,-1.176381,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.1742855486792259,0.08130081300813008,Utility system construction
2372,237200,1,27800,47,5.7302,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.4253241483883927,0.6989247311827957,2372,Land Subdivision,1,0.5814018,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,0.5766181016004605,0.7235772357723578,Land subdivision
2373,237300,1,280500,65,3.2766,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.2522234929968863,0.0967741935483871,2373,"Highway, Street, and Bridge Construction",1,-1.296256,felten_base_aiie,naics4,AIOE_DataAppendix.xlsx,Appendix B,-1.2936914133157884,0.06097560975609756,"Highway, street, and bridge construction"
