comparison_key,raw_naics_examples_left,source_row_count_left,comparison_title_left,covered_employment_2024_left,occupation_count_left,karpathy_score_left,variant_left,comparison_level_left,source_file_left,karpathy_zscore_left,karpathy_percentile_left,raw_naics_examples_right,source_row_count_right,comparison_title_right,covered_employment_2024_right,occupation_count_right,karpathy_score_right,variant_right,comparison_level_right,source_file_right,karpathy_zscore_right,karpathy_percentile_right,comparison_title
1133,113300,1,Logging,33400,11,3.332,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.214346031579889,0.11290322580645161,113300,1,Logging,33400,11,3.4162,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.3644037057552352,0.10215053763440861,Logging
2121,212100,1,Coal mining,18400,32,3.3033,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.233968470978225,0.10215053763440861,212100,1,Coal mining,18400,32,3.6685,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1875460572782817,0.13978494623655913,Coal mining
2122,212200,1,Metal ore mining,24100,58,3.873,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.8444596303778038,0.21505376344086022,212200,1,Metal ore mining,24100,58,4.1701,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8359337050149451,0.22043010752688172,Metal ore mining
2123,212300,1,Nonmetallic mineral mining and quarrying,47700,45,3.9763,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.7738325227175906,0.24193548387096775,212300,1,Nonmetallic mineral mining and quarrying,47700,45,4.4885,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6127411751890947,0.27419354838709675,Nonmetallic mineral mining and quarrying
2211,221100,1,"Electric power generation, transmission and distribution",295300,120,5.3127,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.13987577038123866,0.5967741935483871,221100,1,"Electric power generation, transmission and distribution",295300,120,5.4067,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.03090009643808971,0.5483870967741935,"Electric power generation, transmission and distribution"
2212,221200,1,Natural gas distribution,61300,83,5.9641,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,0.5852436109413831,0.7311827956989247,221200,1,Natural gas distribution,61300,83,5.9788,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.43193164892982594,0.7043010752688172,Natural gas distribution
2213,221300,1,"Water, sewage and other systems",42700,48,4.5133,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.4066809562748555,0.3548387096774194,221300,1,"Water, sewage and other systems",42700,48,5.2131,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10480993426004025,0.45698924731182794,"Water, sewage and other systems"
2361,236100,1,Residential building construction,712900,86,4.1478,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.6565764824104601,0.27419354838709675,236100,1,Residential building construction,712900,86,3.8531,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.0581448606518622,0.16129032258064516,Residential building construction
2362,236200,1,Nonresidential building construction,668800,97,4.5234,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-0.3997754985074971,0.3709677419354839,236200,1,Nonresidential building construction,668800,97,4.1882,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8232459387151713,0.22580645161290322,Nonresidential building construction
2371,237100,1,Utility system construction,419800,89,3.3109,repo_gabriel,naics4,custom_industry_exposure_repo_gabriel_4digit.csv,-1.22877228493546,0.10752688172043011,237100,1,Utility system construction,419800,89,3.1963,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.5185495515740304,0.053763440860215055,Utility system construction
