comparison_key,raw_naics_examples_left,source_row_count_left,covered_employment_2024,occupation_count,karpathy_score,variant,comparison_level_left,source_file_left,karpathy_zscore,karpathy_percentile,raw_naics_examples_right,raw_title_examples,source_row_count_right,metric_value,metric_name,comparison_level_right,source_file_right,sheet_name,metric_zscore,metric_percentile,comparison_title
1133,113300,1,33400,11,3.4162,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.3644037057552352,0.10215053763440861,113300,Logging,1,-1.73983,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.7370512525404043,0.008130081300813009,Logging
2121,212100,1,18400,32,3.6685,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.1875460572782817,0.13978494623655913,212100,Coal Mining,1,-1.38403,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.3824988656389101,0.06097560975609756,Coal mining
2122,212200,1,24100,58,4.1701,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8359337050149451,0.22043010752688172,212200,Metal Ore Mining,1,-1.112581,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.1120017018614405,0.15040650406504066,Metal ore mining
2123,212300,1,47700,45,4.4885,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.6127411751890947,0.27419354838709675,212300,Nonmetallic Mineral Mining and Quarrying,1,-1.219409,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.2184551093597902,0.08130081300813008,Nonmetallic mineral mining and quarrying
2211,221100,1,295300,120,5.4067,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.03090009643808971,0.5483870967741935,221100,"Electric Power Generation, Transmission and Distribution",1,0.0499917,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.04649443566389598,0.573170731707317,"Electric power generation, transmission and distribution"
2212,221200,1,61300,83,5.9788,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.43193164892982594,0.7043010752688172,221200,Natural Gas Distribution,1,0.2033846,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.19934946328824169,0.6056910569105691,Natural gas distribution
2213,221300,1,42700,48,5.2131,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.10480993426004025,0.45698924731182794,221300,"Water, Sewage and Other Systems",1,-0.2695695,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.27194622263038665,0.44308943089430897,"Water, sewage and other systems"
2361,236100,1,712900,86,3.8531,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.0581448606518622,0.16129032258064516,236100,Residential Building Construction,1,-0.7263659,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.7271408655421621,0.3130081300813008,Residential building construction
2362,236200,1,668800,97,4.1882,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-0.8232459387151713,0.22580645161290322,236200,Nonresidential Building Construction,1,-0.7161099,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-0.716920828217649,0.3170731707317073,Nonresidential building construction
2371,237100,1,419800,89,3.1963,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.5185495515740304,0.053763440860215055,237100,Utility System Construction,1,-1.218836,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.2178841185849318,0.08536585365853659,Utility system construction
2372,237200,1,27800,47,5.6079,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,0.17193758701899753,0.6236559139784946,237200,Land Subdivision,1,0.4659384,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,0.46098261809447416,0.6747967479674797,Land subdivision
2373,237300,1,280500,65,3.313,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.4367450031108497,0.07526881720430108,237300,"Highway, Street, and Bridge Construction",1,-1.362089,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.3606348017799847,0.06504065040650407,"Highway, street, and bridge construction"
2379,237900,1,101500,64,3.3596,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.4040792622506595,0.08064516129032258,237900,Other Heavy and Civil Engineering Construction,1,-1.16696,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.1661900218370345,0.11382113821138211,Other heavy and civil engineering construction
2381,238100,1,642800,78,3.0316,repo_original,naics4,custom_industry_exposure_repo_original_4digit.csv,-1.6340012150863341,0.03763440860215054,238100,"Foundation, Structure, and Building Exterior Contractors",1,-1.621387,felten_language_modeling_aiie,naics4,Language_Modeling_AIOE_and_AIIE.xlsx,LM AIIE,-1.6190235730525635,0.012195121951219513,"Foundation, structure, and building exterior contractors"
