variant,soc4,title,karpathy_score,num_jobs_2024,occupation_count,karpathy_zscore,karpathy_percentile,comparison_key,comparison_level_left,raw_code_examples,raw_title_examples,source_row_count,metric_value,metric_name,comparison_level_right,source_file,sheet_name,metric_zscore,metric_percentile,comparison_title,left_label,right_label,value_gap,percentile_gap,abs_percentile_gap
repo_original,43-60,Secretaries and administrative assistants,8.0,3453100.0,1,1.424945511642505,0.9090909090909091,43-60,soc4,43-6011.00 | 43-6012.00 | 43-6013.00 | 43-6014.00,"Executive Secretaries and Executive Administrative Assistants | Legal Secretaries | Medical Secretaries | Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4,0.124849738,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.4679247800097706,0.06481481481481481,Secretaries and administrative assistants,repo_original,webb_soc4_ai_score,7.875150262,0.8442760942760943,0.8442760942760943
repo_original,43-40,Customer service representatives,8.355948537560835,4150600.0,2,1.5893128908010523,0.9318181818181818,43-40,soc4,43-4011.00 | 43-4021.00 | 43-4031.01 | 43-4031.02 | 43-4031.03,Brokerage Clerks | Correspondence Clerks | Court Clerks | Municipal Clerks | License Clerks,12,0.1725439243333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.2209393059017055,0.10185185185185185,Customer service representatives,repo_original,webb_soc4_ai_score,8.183404613227502,0.8299663299663299,0.8299663299663299
repo_original,27-30,Public relations specialists,8.387184900037253,805300.0,8,1.603736995672723,0.9431818181818182,27-30,soc4,27-3011.00 | 27-3012.00 | 27-3021.00 | 27-3022.00 | 27-3031.00,Radio and Television Announcers | Public Address System and Other Announcers | Broadcast News Analysts | Reporters and Correspondents | Public Relations Specialists,10,0.1841147896,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.1610193059303275,0.12962962962962962,Public relations specialists,repo_original,webb_soc4_ai_score,8.203070110437253,0.8135521885521886,0.8135521885521886
repo_original,25-10,Postsecondary teachers,7.0,1415600.0,1,0.9631726377184042,0.8068181818181818,25-10,soc4,25-1011.00 | 25-1021.00 | 25-1022.00 | 25-1031.00 | 25-1032.00,"Business Teachers, Postsecondary | Computer Science Teachers, Postsecondary | Mathematical Science Teachers, Postsecondary | Architecture Teachers, Postsecondary | Engineering Teachers, Postsecondary",23,0.0158849577826086,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-2.0322014764394214,0.009259259259259259,Postsecondary teachers,repo_original,webb_soc4_ai_score,6.984115042217391,0.7975589225589225,0.7975589225589225
repo_original,23-20,Paralegals and legal assistants,9.0,376200.0,1,1.8867183855666056,0.9943181818181818,23-20,soc4,23-2011.00 | 23-2091.00 | 23-2093.00,"Paralegals and Legal Assistants | Court Reporters | Title Examiners, Abstractors, and Searchers",3,0.2309919056666666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9182650495598265,0.2037037037037037,Paralegals and legal assistants,repo_original,webb_soc4_ai_score,8.769008094333334,0.790614478114478,0.790614478114478
repo_original,43-30,"Bookkeeping, accounting, and auditing clerks",8.790767006956365,3320700.0,4,1.790100265049105,0.9659090909090909,43-30,soc4,43-3011.00 | 43-3021.01 | 43-3021.02 | 43-3031.00 | 43-3041.00,"Bill and Account Collectors | Statement Clerks | Billing, Cost, and Rate Clerks | Bookkeeping, Accounting, and Auditing Clerks | Gaming Cage Workers",8,0.215227990125,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.9998988597405214,0.17592592592592593,"Bookkeeping, accounting, and auditing clerks",repo_original,webb_soc4_ai_score,8.575539016831366,0.789983164983165,0.789983164983165
repo_original,45-20,Agricultural workers,3.0,812600.0,1,-0.8839188579779984,0.2556818181818182,45-20,soc4,45-2011.00 | 45-2021.00 | 45-2041.00 | 45-2091.00 | 45-2092.01,"Agricultural Inspectors | Animal Breeders | Graders and Sorters, Agricultural Products | Agricultural Equipment Operators | Nursery Workers",7,0.7598557042857143,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.8204686637612602,0.9537037037037037,Agricultural workers,repo_original,webb_soc4_ai_score,2.240144295714286,-0.6980218855218856,0.6980218855218856
repo_original,43-41,Receptionists,7.0,1007200.0,1,0.9631726377184042,0.8068181818181818,43-41,soc4,43-4111.00 | 43-4121.00 | 43-4131.00 | 43-4141.00 | 43-4151.00,"Interviewers, Except Eligibility and Loan | Library Assistants, Clerical | Loan Interviewers and Clerks | New Accounts Clerks | Order Clerks",8,0.205999130375,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-1.0476907286467223,0.1574074074074074,Receptionists,repo_original,webb_soc4_ai_score,6.794000869625,0.6494107744107743,0.6494107744107743
repo_original,37-20,Janitors and building cleaners,1.0401552880279206,2550100.0,2,-1.788921983070297,0.022727272727272728,37-20,soc4,37-2011.00 | 37-2012.00 | 37-2021.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners | Maids and Housekeeping Cleaners | Pest Control Workers",3,0.4814530363333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.37875385062664735,0.6666666666666666,Janitors and building cleaners,repo_original,webb_soc4_ai_score,0.5587022516945872,-0.6439393939393939,0.6439393939393939
repo_original,53-70,Hand laborers and material movers,2.221983447817133,7817700.0,2,-1.243185797240001,0.13636363636363635,53-70,soc4,53-7011.00 | 53-7021.00 | 53-7031.00 | 53-7032.00 | 53-7033.00,"Conveyor Operators and Tenders | Crane and Tower Operators | Dredge Operators | Excavating and Loading Machine and Dragline Operators | Loading Machine Operators, Underground Mining",15,0.5322287626666666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6416971526461417,0.7777777777777778,Hand laborers and material movers,repo_original,webb_soc4_ai_score,1.6897546851504663,-0.6414141414141414,0.6414141414141414
