variant,soc4,title,karpathy_score,num_jobs_2024,occupation_count,karpathy_zscore,karpathy_percentile,comparison_key,comparison_level_left,raw_code_examples,raw_title_examples,source_row_count,metric_value,metric_name,comparison_level_right,source_file,sheet_name,metric_zscore,metric_percentile,comparison_title
repo_gabriel,11-10,Top executives,7.4,4022200.0,1,1.233819532719265,0.8522727272727273,11-10,soc4,11-1011.00 | 11-1011.03 | 11-1021.00,Chief Executives | Chief Sustainability Officers | General and Operations Managers,3,0.2503340999999999,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,-0.8181010378641315,0.24074074074074073,Top executives
repo_gabriel,11-20,Sales managers,7.232459404600812,1182400.0,3,1.159081360261757,0.8181818181818182,11-20,soc4,11-2011.00 | 11-2021.00 | 11-2022.00 | 11-2031.00,Advertising and Promotions Managers | Marketing Managers | Sales Managers | Public Relations and Fundraising Managers,4,0.5579993225000001,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.775150607412759,0.8333333333333334,Sales managers
repo_gabriel,11-30,Financial managers,7.373492142266336,3022500.0,6,1.2219946443209797,0.8409090909090909,11-30,soc4,11-3011.00 | 11-3021.00 | 11-3031.01 | 11-3031.02 | 11-3051.00,"Administrative Services Managers | Computer and Information Systems Managers | Treasurers and Controllers | Financial Managers, Branch or Department | Industrial Production Managers",14,0.5393125057142857,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6783804838775024,0.7962962962962963,Financial managers
repo_gabriel,11-31,Human resources managers,7.460995850622407,289200.0,3,1.2610291674477798,0.8636363636363636,11-31,soc4,11-3111.00 | 11-3121.00 | 11-3131.00,Compensation and Benefits Managers | Human Resources Managers | Training and Development Managers,3,0.4886859166666666,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.41620949282609726,0.6944444444444444,Human resources managers
repo_gabriel,11-90,"Farmers, ranchers, and other agricultural managers",4.878529287821324,2847600.0,10,0.10901683947135504,0.5795454545454546,11-90,soc4,11-9013.01 | 11-9013.02 | 11-9013.03 | 11-9021.00 | 11-9031.00,"Nursery and Greenhouse Managers | Farm and Ranch Managers | Aquacultural Managers | Construction Managers | Education Administrators, Preschool and Childcare Center/Program",15,0.5306007620000001,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.6332665126160408,0.7685185185185185,"Farmers, ranchers, and other agricultural managers"
repo_gabriel,11-91,Medical and health services managers,6.456997025419145,1479200.0,6,0.8131554018902993,0.7159090909090909,11-91,soc4,11-9111.00 | 11-9121.00 | 11-9121.01 | 11-9121.02 | 11-9131.00,Medical and Health Services Managers | Natural Sciences Managers | Clinical Research Coordinators | Water Resource Specialists | Postmasters and Mail Superintendents,17,0.4326621276470588,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.12608897382549594,0.5925925925925926,Medical and health services managers
repo_gabriel,13-10,Project management specialists,7.617545506860102,3301700.0,7,1.3308643926251709,0.875,13-10,soc4,13-1011.00 | 13-1021.00 | 13-1022.00 | 13-1023.00 | 13-1031.01,"Agents and Business Managers of Artists, Performers, and Athletes | Buyers and Purchasing Agents, Farm Products | Wholesale and Retail Buyers, Except Farm Products | Purchasing Agents, Except Wholesale, Retail, and Farm Products | Claims Examiners, Property and Casualty Insurance",20,0.48962319425,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.4210632070015013,0.7037037037037037,Project management specialists
repo_gabriel,13-11,Management analysts,7.907120678226285,2866300.0,6,1.460040960521521,0.9204545454545454,13-11,soc4,13-1111.00 | 13-1121.00 | 13-1131.00 | 13-1141.00 | 13-1151.00,"Management Analysts | Meeting, Convention, and Event Planners | Fundraisers | Compensation, Benefits, and Job Analysis Specialists | Training and Development Specialists",12,0.4818873878333333,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.3810031501619677,0.6759259259259259,Management analysts
repo_gabriel,13-20,Accountants and auditors,7.860192421356801,3045400.0,10,1.439106737704149,0.9090909090909091,13-20,soc4,13-2011.01 | 13-2011.02 | 13-2021.01 | 13-2021.02 | 13-2031.00,"Accountants | Auditors | Assessors | Appraisers, Real Estate | Budget Analysts",18,0.5555130127777779,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,0.7622751935996218,0.8240740740740741,Accountants and auditors
repo_gabriel,15-20,Data scientists,8.919263256687001,426200.0,4,1.9115475723987658,1.0,15-20,soc4,15-2011.00 | 15-2021.00 | 15-2031.00 | 15-2041.00 | 15-2041.01,Actuaries | Mathematicians | Operations Research Analysts | Statisticians | Biostatisticians,6,0.6246539533333334,webb_soc4_ai_score,soc4,webb_exposure_by_soc4.xlsx,exposure_by_soc4,1.1203231926585029,0.8703703703703703,Data scientists
