naics_code,title,industry_type,naics_level,is_sector,covered_employment_2024,occupation_count,weighted_exposure
510000,Information,Summary,2,True,1944000,156,7.7408
520000,Finance and insurance,Summary,2,True,5201700,144,7.6489
550000,Management of companies and enterprises,Summary,2,True,1893200,237,7.3906
540000,"Professional, scientific, and technical services",Summary,2,True,8506500,262,7.3772
420000,Wholesale trade,Summary,2,True,3465500,199,6.2756
610000,"Educational services; state, local, and private",Summary,2,True,9506700,295,5.5786
910000,Federal government,Summary,2,True,1865700,201,5.5434
530000,Real estate and rental and leasing,Summary,2,True,1714000,131,5.4559
900000,"Government, excluding state and local education and hospitals",Summary,2,True,7186300,305,5.3884
220000,Utilities,Summary,2,True,404700,131,5.3783
210000,"Mining, quarrying, and oil and gas extraction",Summary,2,True,262000,103,4.8775
560000,Administrative and support and waste management and remediation services,Summary,2,True,5750900,265,4.8348
810000,Other services (except public administration),Summary,2,True,4252500,248,4.5471
620000,Healthcare and social assistance,Summary,2,True,20691400,244,4.4415
710000,"Arts, entertainment, and recreation",Summary,2,True,1576300,187,4.3884
110000,"Agriculture, forestry, fishing, and hunting",Summary,2,True,571200,51,4.3346
230000,Construction,Summary,2,True,5966100,151,3.7828
720000,Accommodation and food services,Summary,2,True,10418200,122,2.9119
518000,"Computing infrastructure providers, data processing, web hosting, and related services",Line Item,3,False,340500,84,8.1025
519000,"Web search portals, libraries, archives, and other information services",Line Item,3,False,130300,72,7.9018
533000,Lessors of nonfinancial intangible assets (except copyrighted works),Line Item,3,False,12800,38,7.7422
524000,Insurance carriers and related activities,Summary,3,False,2342900,126,7.7221
517000,Telecommunications,Line Item,3,False,274300,95,7.7054
521000,Monetary authorities-central bank,Line Item,3,False,14700,34,7.6599
523000,"Securities, commodity contracts, and other financial investments and related activities",Line Item,3,False,907100,76,7.6395
525000,"Funds, trusts, and other financial vehicles",Summary,3,False,22200,46,7.5946
522000,Credit intermediation and related activities,Summary,3,False,1902100,92,7.5714
516000,Broadcasting and Content Providers,Summary,3,False,267500,82,7.5637
323000,Printing and related support activities,Line Item,3,False,105500,60,7.3953
551000,Management of companies and enterprises,Line Item,3,False,1893200,237,7.3906
541000,"Professional, scientific, and technical services",Summary,3,False,8506500,262,7.3772
458000,"Clothing, clothing accessories, shoe, and jewelry retailers",Summary,3,False,168000,59,7.0345
315000,Apparel manufacturing,Line Item,3,False,21800,37,6.9908
449000,"Furniture, home furnishings, electronics, and appliance retailers",Summary,3,False,171100,72,6.9749
425000,Wholesale trade agents and brokers,Line Item,3,False,309800,82,6.8351
334000,Computer and electronic product manufacturing,Summary,3,False,637600,115,6.5731
444000,Building material and garden equipment and supplies dealers,Summary,3,False,389500,78,6.563
512000,Motion picture and sound recording industries,Summary,3,False,245600,98,6.5134
316000,Leather and allied product manufacturing,Line Item,3,False,4000,18,6.425
455000,General merchandise retailers,Line Item,3,False,1082900,61,6.3192
457000,Gasoline stations and fuel dealers,Summary,3,False,781300,43,6.3119
314000,Textile product mills,Line Item,3,False,23800,45,6.2479
423000,"Merchant wholesalers, durable goods",Summary,3,False,1963600,156,6.2448
424000,"Merchant wholesalers, nondurable goods",Summary,3,False,1162900,151,6.2173
459000,"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers",Summary,3,False,417400,120,6.1596
211000,Oil and gas extraction,Line Item,3,False,58400,81,6.0805
339000,Miscellaneous manufacturing,Summary,3,False,294600,119,5.9416
325000,Chemical manufacturing,Summary,3,False,416400,123,5.9075
813000,"Religious, grantmaking, civic, professional, and similar organizations",Summary,3,False,1888100,206,5.876
335000,"Electrical equipment, appliance, and component manufacturing",Summary,3,False,165800,85,5.8172
456000,Health and personal care retailers,Summary,3,False,690800,80,5.7963
488000,Support activities for transportation,Summary,3,False,348700,107,5.7422
493000,Warehousing and storage,Line Item,3,False,346700,103,5.6357
611000,"Educational services; state, local, and private",Summary,3,False,9506700,295,5.5786
492000,Couriers and messengers,Summary,3,False,197800,54,5.5091
531000,Real estate,Line Item,3,False,1435900,100,5.4872
445000,Food and beverage retailers,Summary,3,False,1745800,67,5.4843
322000,Paper manufacturing,Summary,3,False,103800,75,5.4721
333000,Machinery manufacturing,Summary,3,False,576500,116,5.391
221000,Utilities,Summary,3,False,404700,131,5.3783
711000,"Performing arts, spectator sports, and related industries",Summary,3,False,350200,124,5.3752
336000,Transportation equipment manufacturing,Summary,3,False,815100,132,5.3211
484000,Truck transportation,Line Item,3,False,1143600,66,5.2829
712000,"Museums, historical sites, and similar institutions",Line Item,3,False,124600,94,5.2793
324000,Petroleum and coal products manufacturing,Line Item,3,False,48600,75,5.2695
326000,Plastics and rubber products manufacturing,Summary,3,False,249500,87,5.2337
532000,Rental and leasing services,Summary,3,False,260600,92,5.1781
486000,Pipeline transportation,Summary,3,False,23700,53,5.1266
313000,Textile mills,Line Item,3,False,26100,44,5.046
327000,Nonmetallic mineral product manufacturing,Line Item,3,False,210100,83,5.0457
622000,"Hospitals; state, local, and private",Summary,3,False,5723100,201,5.0451
621000,Ambulatory healthcare services,Summary,3,False,7720400,182,4.9854
331000,Primary metal manufacturing,Summary,3,False,143000,83,4.9175
483000,Water transportation,Summary,3,False,52800,54,4.8542
561000,Administrative and support services,Summary,3,False,5471000,257,4.8326
485000,Transit and ground passenger transportation,Summary,3,False,311100,56,4.821
562000,Waste management and remediation services,Summary,3,False,266800,94,4.8032
441000,Motor vehicle and parts dealers,Summary,3,False,1046700,86,4.7966
332000,Fabricated metal product manufacturing,Summary,3,False,675100,108,4.7664
337000,Furniture and related product manufacturing,Summary,3,False,157700,72,4.7533
321000,Wood product manufacturing,Summary,3,False,125000,74,4.7368
111000,Crop production,Line Item,3,False,323900,68,4.6659
213000,Support activities for mining,Line Item,3,False,110400,77,4.6576
481000,Air transportation,Summary,3,False,298600,61,4.6098
115000,Support activities for agriculture and forestry,Line Item,3,False,49700,37,4.4064
482000,Rail transportation,Line Item,3,False,69100,70,4.3878
311000,Food manufacturing,Summary,3,False,613900,123,4.3432
212000,Mining (except oil and gas),Summary,3,False,91000,75,4.3176
236000,Construction of buildings,Summary,3,False,1384900,110,4.2572
487000,Scenic and sightseeing transportation,Summary,3,False,19200,40,4.1875
312000,Beverage and tobacco product manufacturing,Summary,3,False,161800,78,4.1576
811000,Repair and maintenance,Summary,3,False,995800,102,4.0861
491000,Postal service,Line Item,3,False,556100,49,4.0509
713000,"Amusement, gambling, and recreation industries",Summary,3,False,1055400,140,3.9564
112000,Animal production and aquaculture,Line Item,3,False,186100,34,3.9081
721000,Accommodation,Summary,3,False,745300,112,3.8438
237000,Heavy and civil engineering construction,Summary,3,False,834800,115,3.6764
238000,Specialty trade contractors,Summary,3,False,3738800,120,3.6285
114000,"Fishing, hunting and trapping",Line Item,3,False,14900,14,3.5101
113000,Forestry and logging,Summary,3,False,33400,11,3.4521
623000,Nursing and residential care facilities,Summary,3,False,2768700,122,3.4267
624000,Social assistance,Summary,3,False,4453300,154,3.3452
812000,Personal and laundry services,Summary,3,False,1029200,84,3.3219
722000,Food services and drinking places,Summary,3,False,9665000,70,2.8385
814000,Private households,Line Item,3,False,330900,22,2.1523
561400,Business support services,Line Item,4,False,437600,75,8.5519
541100,Legal services,Line Item,4,False,1063000,64,8.3813
711400,"Agents and managers for artists, athletes, entertainers, and other public figures",Line Item,4,False,10300,19,8.2427
513200,Software publishers,Line Item,4,False,476500,75,8.106
541500,Computer systems design and related services,Line Item,4,False,1882900,117,8.0894
513100,"Newspaper, Periodical, Book, and Directory Publishers",Summary,4,False,196800,76,8.0396
525100,Insurance and employee benefit funds,Line Item,4,False,9100,34,7.9231
541800,"Advertising, public relations, and related services",Line Item,4,False,329700,80,7.7962
561100,Office administrative services,Line Item,4,False,414300,104,7.7511
524100,Insurance carriers,Summary,4,False,1248600,116,7.7396
522200,Nondepository credit intermediation,Summary,4,False,330400,76,7.7209
524200,"Agencies, brokerages, and other insurance related activities",Summary,4,False,1094700,90,7.7014
541200,"Accounting, tax preparation, bookkeeping, and payroll services",Line Item,4,False,887100,95,7.6687
541400,Specialized design services,Line Item,4,False,105800,70,7.6626
561500,Travel arrangement and reservation services,Line Item,4,False,118400,64,7.5709
334600,Manufacturing and reproducing magnetic and optical media,Line Item,4,False,4900,27,7.551
449200,Electronics and appliance retailers,Line Item,4,False,50000,45,7.542
541600,"Management, scientific, and technical consulting services",Line Item,4,False,1279200,173,7.5362
525900,Other investment pools and funds,Line Item,4,False,13300,30,7.3684
488500,Freight transportation arrangement,Line Item,4,False,102600,54,7.3567
711500,"Independent artists, writers, and performers",Line Item,4,False,24100,33,7.3278
424300,"Apparel, piece goods, and notions merchant wholesalers",Line Item,4,False,63600,50,7.305
516100,Radio and Television Broadcasting Stations,Summary,4,False,102000,58,7.2853
512200,Sound recording industries,Line Item,4,False,15500,34,7.2129
458200,Shoe retailers,Line Item,4,False,11800,19,7.2119
458100,Clothing and clothing accessories retailers,Line Item,4,False,124200,48,7.2101
334100,Computer and peripheral equipment manufacturing,Line Item,4,False,74400,68,7.2056
813200,Grantmaking and giving services,Line Item,4,False,144100,96,7.0992
334300,Audio and video equipment manufacturing,Line Item,4,False,8800,33,7.0682
334200,Communications equipment manufacturing,Line Item,4,False,50000,67,7.06
423400,Professional and commercial equipment and supplies merchant wholesalers,Line Item,4,False,494700,114,6.9416
813900,"Business, professional, labor, political, and similar organizations",Summary,4,False,344500,136,6.8955
541700,Scientific research and development services,Summary,4,False,724400,190,6.877
445300,"Beer, wine, and liquor retailers",Line Item,4,False,89900,24,6.7775
444100,Building material and supplies dealers,Line Item,4,False,332500,66,6.7435
449100,Furniture and home furnishings retailers,Line Item,4,False,119700,60,6.7419
334500,"Navigational, measuring, electromedical, and control instruments manufacturing",Line Item,4,False,250900,98,6.7298
541300,"Architectural, engineering, and related services",Summary,4,False,1450000,172,6.5615
488900,Other support activities for transportation,Line Item,4,False,14400,33,6.5069
512100,Motion picture and video industries,Summary,4,False,228900,95,6.4688
335100,Electric lighting equipment manufacturing,Line Item,4,False,15000,45,6.4533
339900,Other miscellaneous manufacturing,Summary,4,False,113300,87,6.3698
457100,Gasoline stations,Line Item,4,False,731900,28,6.3533
337900,Other furniture related product manufacturing,Line Item,4,False,5600,23,6.3214
458300,"Jewelry, luggage, and leather goods retailers",Line Item,4,False,30000,31,6.3033
485300,Taxi and limousine service,Line Item,4,False,41500,31,6.2506
333300,Commercial and service industry machinery manufacturing,Line Item,4,False,45900,69,6.2113
999100,"Federal government, excluding postal service",Line Item,4,False,1313400,193,6.1745
813300,Social advocacy organizations,Line Item,4,False,201400,117,6.1117
