naics_code,title,industry_type,naics_level,is_sector,covered_employment_2024,occupation_count,weighted_exposure
561400,Business support services,Line Item,4,False,437600,75,8.5519
541100,Legal services,Line Item,4,False,1063000,64,8.3813
711400,"Agents and managers for artists, athletes, entertainers, and other public figures",Line Item,4,False,10300,19,8.2427
513200,Software publishers,Line Item,4,False,476500,75,8.106
541500,Computer systems design and related services,Line Item,4,False,1882900,117,8.0894
513100,"Newspaper, Periodical, Book, and Directory Publishers",Summary,4,False,196800,76,8.0396
525100,Insurance and employee benefit funds,Line Item,4,False,9100,34,7.9231
541800,"Advertising, public relations, and related services",Line Item,4,False,329700,80,7.7962
561100,Office administrative services,Line Item,4,False,414300,104,7.7511
524100,Insurance carriers,Summary,4,False,1248600,116,7.7396
522200,Nondepository credit intermediation,Summary,4,False,330400,76,7.7209
524200,"Agencies, brokerages, and other insurance related activities",Summary,4,False,1094700,90,7.7014
541200,"Accounting, tax preparation, bookkeeping, and payroll services",Line Item,4,False,887100,95,7.6687
541400,Specialized design services,Line Item,4,False,105800,70,7.6626
561500,Travel arrangement and reservation services,Line Item,4,False,118400,64,7.5709
334600,Manufacturing and reproducing magnetic and optical media,Line Item,4,False,4900,27,7.551
449200,Electronics and appliance retailers,Line Item,4,False,50000,45,7.542
541600,"Management, scientific, and technical consulting services",Line Item,4,False,1279200,173,7.5362
525900,Other investment pools and funds,Line Item,4,False,13300,30,7.3684
488500,Freight transportation arrangement,Line Item,4,False,102600,54,7.3567
711500,"Independent artists, writers, and performers",Line Item,4,False,24100,33,7.3278
424300,"Apparel, piece goods, and notions merchant wholesalers",Line Item,4,False,63600,50,7.305
516100,Radio and Television Broadcasting Stations,Summary,4,False,102000,58,7.2853
512200,Sound recording industries,Line Item,4,False,15500,34,7.2129
458200,Shoe retailers,Line Item,4,False,11800,19,7.2119
458100,Clothing and clothing accessories retailers,Line Item,4,False,124200,48,7.2101
334100,Computer and peripheral equipment manufacturing,Line Item,4,False,74400,68,7.2056
813200,Grantmaking and giving services,Line Item,4,False,144100,96,7.0992
334300,Audio and video equipment manufacturing,Line Item,4,False,8800,33,7.0682
334200,Communications equipment manufacturing,Line Item,4,False,50000,67,7.06
423400,Professional and commercial equipment and supplies merchant wholesalers,Line Item,4,False,494700,114,6.9416
813900,"Business, professional, labor, political, and similar organizations",Summary,4,False,344500,136,6.8955
541700,Scientific research and development services,Summary,4,False,724400,190,6.877
445300,"Beer, wine, and liquor retailers",Line Item,4,False,89900,24,6.7775
444100,Building material and supplies dealers,Line Item,4,False,332500,66,6.7435
449100,Furniture and home furnishings retailers,Line Item,4,False,119700,60,6.7419
334500,"Navigational, measuring, electromedical, and control instruments manufacturing",Line Item,4,False,250900,98,6.7298
541300,"Architectural, engineering, and related services",Summary,4,False,1450000,172,6.5615
488900,Other support activities for transportation,Line Item,4,False,14400,33,6.5069
512100,Motion picture and video industries,Summary,4,False,228900,95,6.4688
335100,Electric lighting equipment manufacturing,Line Item,4,False,15000,45,6.4533
339900,Other miscellaneous manufacturing,Summary,4,False,113300,87,6.3698
457100,Gasoline stations,Line Item,4,False,731900,28,6.3533
337900,Other furniture related product manufacturing,Line Item,4,False,5600,23,6.3214
458300,"Jewelry, luggage, and leather goods retailers",Line Item,4,False,30000,31,6.3033
485300,Taxi and limousine service,Line Item,4,False,41500,31,6.2506
333300,Commercial and service industry machinery manufacturing,Line Item,4,False,45900,69,6.2113
999100,"Federal government, excluding postal service",Line Item,4,False,1313400,193,6.1745
813300,Social advocacy organizations,Line Item,4,False,201400,117,6.1117
334400,Semiconductor and other electronic component manufacturing,Line Item,4,False,242700,84,6.0812
492200,Local messengers and local delivery,Line Item,4,False,24000,32,6.0333
325400,Pharmaceutical and medicine manufacturing,Line Item,4,False,183600,100,6.0321
424500,Farm product raw material merchant wholesalers,Line Item,4,False,32300,47,5.9938
621100,Offices of physicians,Line Item,4,False,2513300,132,5.9885
811200,Electronic and precision equipment repair and maintenance,Line Item,4,False,47500,60,5.9832
221200,Natural gas distribution,Line Item,4,False,61300,83,5.9739
336400,Aerospace product and parts manufacturing,Line Item,4,False,346100,105,5.9642
999200,"State government, excluding education and hospitals",Line Item,4,False,1673600,245,5.9455
335300,Electrical equipment manufacturing,Line Item,4,False,64800,62,5.9074
483100,"Deep sea, coastal, and great lakes water transportation",Line Item,4,False,29700,46,5.8182
459900,Other miscellaneous retailers,Line Item,4,False,175700,88,5.8099
456100,Health and personal care retailers,Summary,4,False,690800,80,5.7963
812300,Drycleaning and laundry services,Line Item,4,False,60100,33,5.7471
237200,Land subdivision,Line Item,4,False,27800,47,5.7158
339100,Medical equipment and supplies manufacturing,Line Item,4,False,180000,92,5.6894
561900,Other support services,Line Item,4,False,122700,90,5.6822
561300,Employment services,Summary,4,False,1549300,241,5.6733
457200,Fuel dealers,Line Item,4,False,48700,32,5.6715
322200,Converted paper product manufacturing,Line Item,4,False,75100,61,5.6698
487900,"Scenic and sightseeing transportation, other",Line Item,4,False,1200,6,5.6667
335900,Other electrical equipment and component manufacturing,Line Item,4,False,67000,65,5.6582
311100,Animal food manufacturing,Line Item,4,False,28500,50,5.6246
486100,Pipeline transportation of crude oil,Line Item,4,False,5700,31,5.614
621400,Outpatient care centers,Summary,4,False,929500,138,5.6103
333600,"Engine, turbine, and power transmission equipment manufacturing",Line Item,4,False,48300,60,5.5942
481200,Nonscheduled air transportation,Line Item,4,False,36000,35,5.5722
423800,"Machinery, equipment, and supplies merchant wholesalers",Summary,4,False,497900,97,5.5696
621500,Medical and diagnostic laboratories,Line Item,4,False,245400,85,5.564
711100,Performing arts companies,Summary,4,False,93400,68,5.5225
423100,Motor vehicle and motor vehicle parts and supplies merchant wholesalers,Line Item,4,False,192600,82,5.5182
444200,Lawn and garden equipment and supplies retailers,Line Item,4,False,55400,42,5.5108
335200,Household appliance manufacturing,Line Item,4,False,17100,43,5.5088
624200,"Community food and housing, and emergency and other relief services",Line Item,4,False,163500,98,5.507
541900,"Other professional, scientific, and technical services",Summary,4,False,720300,130,5.4819
812200,Death care services,Line Item,4,False,57700,27,5.4627
492100,Couriers and express delivery services,Line Item,4,False,173600,49,5.4389
333500,Metalworking machinery manufacturing,Line Item,4,False,74900,55,5.4072
562100,Waste collection,Line Item,4,False,95300,49,5.3494
488400,Support activities for road transportation,Line Item,4,False,75600,37,5.3294
326200,Rubber product manufacturing,Line Item,4,False,40000,59,5.31
485900,Other transit and ground passenger transportation,Line Item,4,False,81100,31,5.2922
488100,Support activities for air transportation,Line Item,4,False,86800,79,5.2857
311300,Sugar and confectionery product manufacturing,Line Item,4,False,22100,54,5.2851
711300,"Promoters of performing arts, sports, and similar events",Line Item,4,False,101400,83,5.2811
221100,"Electric power generation, transmission and distribution",Summary,4,False,295300,120,5.2807
336100,Motor vehicle manufacturing,Line Item,4,False,89500,80,5.2559
459200,Book retailers and news dealers,Line Item,4,False,12500,20,5.232
326100,Plastics product manufacturing,Line Item,4,False,208300,82,5.2175
621300,Offices of other health practitioners,Summary,4,False,1086900,103,5.2172
311200,Grain and oilseed milling,Line Item,4,False,25000,58,5.168
336900,Other transportation equipment manufacturing,Line Item,4,False,16900,47,5.1657
336300,Motor vehicle parts manufacturing,Line Item,4,False,187500,87,5.0912
321200,"Veneer, plywood, and engineered wood product manufacturing",Line Item,4,False,22400,44,5.0893
312200,Tobacco manufacturing,Line Item,4,False,4500,24,5.0889
331400,Nonferrous metal (except aluminum) production and processing,Line Item,4,False,28200,53,5.0603
999300,"Local government, excluding education and hospitals",Line Item,4,False,3639500,276,5.0533
221300,"Water, sewage and other systems",Line Item,4,False,42700,48,5.0047
441200,Other motor vehicle dealers,Line Item,4,False,79400,46,4.9811
811400,Personal and household goods repair and maintenance,Line Item,4,False,35200,43,4.9773
311700,Seafood product preparation and packaging,Line Item,4,False,7800,35,4.9359
331500,Foundries,Line Item,4,False,33500,55,4.9224
311500,Dairy product manufacturing,Line Item,4,False,52600,60,4.9106
485500,Charter bus industry,Line Item,4,False,8200,17,4.9024
485100,Urban transit systems,Line Item,4,False,12800,29,4.8984
322100,"Pulp, paper, and paperboard mills",Line Item,4,False,28800,55,4.8924
486200,Pipeline transportation of natural gas,Line Item,4,False,14000,42,4.8714
441100,Automobile dealers,Line Item,4,False,723100,70,4.8556
486900,Other pipeline transportation,Line Item,4,False,2700,15,4.8519
331200,Steel product manufacturing from purchased steel,Line Item,4,False,23400,47,4.8462
485200,Interurban and rural bus transportation,Line Item,4,False,3200,12,4.8438
713200,Gambling industries (except casino hotels),Line Item,4,False,51800,53,4.8205
332700,"Machine shops; turned product; and screw, nut, and bolt manufacturing",Summary,4,False,172800,61,4.8194
562200,Waste treatment and disposal,Line Item,4,False,56600,62,4.8057
331300,Alumina and aluminum production and processing,Line Item,4,False,22300,51,4.7892
311900,Other food manufacturing,Line Item,4,False,92500,72,4.7859
332800,"Coating, engraving, heat treating, and allied activities",Line Item,4,False,50100,54,4.7445
621900,Other ambulatory healthcare services,Summary,4,False,297500,106,4.7176
321900,Other wood product manufacturing,Line Item,4,False,75500,66,4.706
336500,Railroad rolling stock manufacturing,Line Item,4,False,12200,35,4.6885
621200,Offices of dentists,Line Item,4,False,978300,33,4.6554
311400,Fruit and vegetable preserving and specialty food manufacturing,Line Item,4,False,54300,60,4.6538
711200,Spectator sports,Line Item,4,False,109100,93,4.6205
532100,Automotive equipment rental and leasing,Line Item,4,False,93500,45,4.6011
331100,Iron and steel mills and ferroalloy manufacturing,Line Item,4,False,30500,53,4.5836
212300,Nonmetallic mineral mining and quarrying,Line Item,4,False,47700,45,4.5493
441300,"Automotive parts, accessories, and tire retailers",Line Item,4,False,242000,48,4.5438
487100,"Scenic and sightseeing transportation, land",Line Item,4,False,5400,20,4.5185
321100,Sawmills and wood preservation,Line Item,4,False,26200,40,4.5153
481100,Scheduled air transportation,Line Item,4,False,261400,52,4.4805
488200,Support activities for rail transportation,Line Item,4,False,18600,38,4.4677
624300,Vocational rehabilitation services,Line Item,4,False,201100,90,4.463
236200,Nonresidential building construction,Line Item,4,False,668800,97,4.4136
713100,Amusement parks and arcades,Line Item,4,False,90900,67,4.374
721200,RV (recreational vehicle) parks and recreational camps,Line Item,4,False,44000,39,4.3591
561600,Investigation and security services,Summary,4,False,821400,62,4.3302
562900,Remediation and other waste management services,Line Item,4,False,110400,70,4.2908
336600,Ship and boat building,Line Item,4,False,78700,73,4.2516
813400,Civic and social organizations,Line Item,4,False,264400,90,4.2061
212200,Metal ore mining,Line Item,4,False,24100,58,4.1867
811300,Commercial and industrial machinery and equipment (except automotive and electronic) repair and maintenance,Line Item,4,False,165000,75,4.1539
485400,School and employee bus transportation,Line Item,4,False,158600,23,4.1526
311600,Animal slaughtering and processing,Line Item,4,False,136100,72,4.1315
312100,Beverage manufacturing,Line Item,4,False,157000,76,4.1229
236100,Residential building construction,Line Item,4,False,712900,86,4.1163
488300,Support activities for water transportation,Line Item,4,False,45800,39,4.0677
336200,Motor vehicle body and trailer manufacturing,Line Item,4,False,70400,64,3.9929
