soc2010,genaiexp_estz_total,genaiexp_estz_core,genaiexp_estz_supplemental
11-1011,.47939068,.42293906,.056451611
11-1021,.29411766,.11764706,.17647059
11-1031,.21666667,.21666667,0
11-2011,.36666667,.30000001,.06666667
11-2021,.44999999,.30000001,.15000001
11-2022,.29411766,.23529412,.05882353
11-2031,.38316247,.38316247,0
11-3011,.42058489,.42058489,0
11-3021,.55882353,.52941179,.029411765
11-3031,.43567821,.2299062,.20577201
11-3051,.22676244,.19529626,.031466193
11-3061,.41666666,.41666666,0
11-3071,.42500001,.39166665,.033333335
11-3111,.41666666,.27083334,.14583333
11-3121,.38461539,.38461539,0
11-3131,.5,.41666666,.083333336
11-9013,.083333336,.083333336,0
11-9021,.18000001,.14,.039999999
11-9031,.35294119,.32352942,.029411765
11-9032,.40625,.3125,.09375
11-9033,.27586207,.13793103,.13793103
11-9039,,,
11-9041,.51190478,.34711778,.16478696
11-9051,.19642857,.14285715,.053571429
11-9061,.27272728,.25,.022727273
11-9071,.10526316,.10526316,0
11-9081,.22916667,.20833333,.020833334
11-9111,.30555555,.27777779,.027777778
11-9121,.43073595,.4025974,.02813853
11-9131,.42307693,.23076923,.1923077
11-9141,.35185185,.2037037,.14814815
11-9151,.375,.25,.125
11-9161,.52173913,.52173913,0
11-9199,.42105374,.39767146,.023382263
13-1011,.53571427,.42857143,.10714286
13-1021,.29166666,.20833333,.083333336
13-1022,.40000001,.27500001,.125
13-1023,.44736841,.44736841,0
13-1031,.5,.39655173,.10344828
13-1032,.2857143,.2857143,0
13-1041,.39154267,.26047003,.13107263
13-1051,.42857143,.39285713,.035714287
13-1071,.44230768,.34615386,.096153848
13-1074,0,0,0
13-1075,.58928573,.5,.089285716
13-1081,.46713912,.41283804,.054301076
13-1111,.45454547,.45454547,0
13-1121,.45238096,.38095239,.071428575
13-1131,.375,.3392857,.035714287
13-1141,.60416669,.375,.22916667
13-1151,.47499999,.44999999,.025
13-1161,.49305555,.40972221,.083333336
13-1199,.53869009,.51462299,.024067078
13-2011,.5,.43333334,.06666667
13-2021,.37738097,.34404761,.033333335
13-2031,.42307693,.42307693,0
13-2041,.63636363,.40909091,.22727273
13-2051,.4361777,.4361777,0
13-2052,.47619048,.35714287,.11904762
13-2053,.5,.5,0
13-2061,.47058824,.41176471,.05882353
13-2071,.41304347,.41304347,0
13-2072,.43333334,.38333333,.050000001
13-2081,.44,.18000001,.25999999
13-2082,.58333331,.58333331,0
13-2099,.50393796,.45446062,.049477357
15-1111,.60000002,.60000002,0
15-1121,.65106952,.50334227,.14772727
15-1122,.75,.75,0
15-1131,.85294116,.64705884,.20588236
15-1132,.59291565,.59291565,0
15-1133,.59291565,.59291565,0
15-1134,.67370069,.64475054,.028950112
15-1141,.56784779,.53036892,.037478816
15-1142,.52499998,.47499999,.050000001
15-1143,.59440559,.53525639,.059149183
15-1151,.625,.5,.125
15-1152,.67307693,.67307693,0
15-1199,.57902342,.57586467,.0031587607
15-2011,.43333334,.30000001,.13333334
15-2021,.86363637,.81818181,.045454547
15-2031,.6875,.65625,.03125
15-2041,.64210528,.64210528,0
15-2091,.55263156,.36842105,.18421052
15-2099,.60084975,.57258081,.028268905
17-1011,.375,.27083334,.10416666
17-1012,.21052632,.21052632,0
17-1021,.35714287,.25,.10714286
17-1022,.25520831,.234375,.020833334
17-2011,.3611111,.27777779,.083333336
17-2021,.35714287,.35714287,0
17-2031,.58333331,.58333331,0
17-2041,.34615386,.34615386,0
